"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675976068664092E9,"2023-02-09 15:54:28.664 UTC-05:00"
"PAUSE",6.053362812503474E1,1.675976129197003E9,"2023-02-09 15:55:29.197 UTC-05:00"
