"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675973623291385e9,"2023-02-09 15:13:43.291 UTC-05:00"
"PAUSE",6.060604266666633e1,1.675973683898272e9,"2023-02-09 15:14:43.898 UTC-05:00"
