"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.419874993E-3,-5.882467346E0,-1.235919891E1,-4.021836548E0,1.426633762E1
1.347687497E-2,-5.443130951E0,-1.206266556E1,-4.344415741E0,1.392873013E1
2.353287500E-2,-4.650080109E0,-1.109343109E1,-5.031337280E0,1.303847434E1
3.358987498E-2,-3.948788452E0,-9.719737701E0,-5.424419861E0,1.181061226E1
4.364687501E-2,-3.349434814E0,-8.911568298E0,-4.870721283E0,1.069386221E1
5.370287498E-2,-2.960543518E0,-8.695417786E0,-3.831731873E0,9.952752259E0
6.375987502E-2,-3.260519714E0,-8.973240051E0,-3.065175934E0,1.002722939E1
7.381687500E-2,-3.625610504E0,-9.794282684E0,-2.658920746E0,1.077696081E1
8.387287502E-2,-4.031416626E0,-1.083162552E1,-2.393073578E0,1.180267904E1
9.392987500E-2,-4.408482513E0,-1.171194489E1,-2.279459839E0,1.272007501E1
1.039868750E-1,-4.515210571E0,-1.223046661E1,-2.175276489E0,1.321753638E1
1.140438750E-1,-4.384382629E0,-1.222582626E1,-2.052681427E0,1.314941595E1
1.240998750E-1,-4.406686249E0,-1.177990356E1,-2.071841583E0,1.274666777E1
1.341568750E-1,-4.512516174E0,-1.134580627E1,-2.276166687E0,1.242059004E1
1.442138750E-1,-4.461771698E0,-1.111244156E1,-2.426005096E0,1.221798939E1
1.542698750E-1,-4.328249359E0,-1.080378342E1,-2.402953033E0,1.188400866E1
1.643268750E-1,-3.931873627E0,-1.050605255E1,-2.497406616E0,1.149233702E1
1.743838750E-1,-3.547023926E0,-1.000669098E1,-2.667003937E0,1.094660464E1
1.844398750E-1,-3.278632050E0,-9.478289795E0,-2.699785767E0,1.038634915E1
1.944968750E-1,-2.957998810E0,-8.932674408E0,-2.600841522E0,9.762520456E0
2.045538750E-1,-2.650837555E0,-8.345295868E0,-2.344724121E0,9.064691615E0
2.146108750E-1,-2.371668091E0,-7.683671722E0,-1.974094849E0,8.280137145E0
2.246668750E-1,-2.103425903E0,-7.079378357E0,-1.616488495E0,7.560094808E0
2.347238750E-1,-1.931283875E0,-6.577172699E0,-1.426832886E0,7.001779074E0
2.447808750E-1,-1.836530914E0,-6.134692841E0,-1.306483154E0,6.535610169E0
2.548368750E-1,-1.742077332E0,-5.783223724E0,-1.241817627E0,6.166248543E0
2.648938750E-1,-1.761536865E0,-5.600154419E0,-1.230740662E0,5.998288441E0
2.749508750E-1,-1.990111542E0,-5.723198547E0,-1.141526184E0,6.165924715E0
2.850078750E-1,-2.162852325E0,-5.794600067E0,-5.941145325E-1,6.213557129E0
2.950638750E-1,-2.212548981E0,-5.922733612E0,-1.531315613E-1,6.324365241E0
3.051208750E-1,-2.099683685E0,-6.188580780E0,2.293231201E-1,6.539097242E0
3.151778750E-1,-1.822909241E0,-6.496340790E0,6.248007202E-1,6.776121139E0
3.252338750E-1,-1.612147522E0,-6.903194733E0,2.671943665E-1,7.093977021E0
3.352908750E-1,-1.548230438E0,-7.226672058E0,-4.963677979E-1,7.407306360E0
3.453478750E-1,-1.417402496E0,-7.607330475E0,-9.910890198E-1,7.801459109E0
3.554038750E-1,-1.221310272E0,-8.041727142E0,-1.531764679E0,8.276912301E0
3.654608750E-1,-1.018332367E0,-8.337212677E0,-1.952539673E0,8.623139058E0
3.755178750E-1,-8.699908447E-1,-8.538394318E0,-2.287543030E0,8.882224648E0
3.855748750E-1,-7.518864441E-1,-8.538544006E0,-2.636916504E0,8.968020719E0
3.956308750E-1,-6.270460510E-1,-8.305927734E0,-2.941533051E0,8.833699053E0
4.056878750E-1,-6.544390869E-1,-8.001311188E0,-3.190615082E0,8.638824911E0
4.157448750E-1,-9.210346985E-1,-7.765252075E0,-3.440744934E0,8.543194391E0
4.258008750E-1,-1.286724243E0,-7.657925262E0,-3.752845917E0,8.624577154E0
4.358578750E-1,-1.642983398E0,-7.750432892E0,-3.977678375E0,8.865129989E0
4.459148750E-1,-2.008672943E0,-8.116122437E0,-4.111649780E0,9.317289000E0
4.559718750E-1,-2.527044983E0,-8.647218018E0,-4.242328033E0,9.957795084E0
4.660278750E-1,-3.191962280E0,-9.198072510E0,-4.453389130E0,1.070634559E1
4.760848750E-1,-3.880829773E0,-9.805509338E0,-4.556973724E0,1.148803128E1
4.861418750E-1,-4.629572754E0,-1.030277527E1,-4.719086609E0,1.224131940E1
4.961978750E-1,-5.305866394E0,-1.068403244E1,-4.876259766E0,1.288715161E1
5.062548750E-1,-5.821843414E0,-1.103056183E1,-4.951553192E0,1.341957652E1
5.163118750E-1,-6.133794708E0,-1.130718658E1,-4.799619141E0,1.372997632E1
5.263678750E-1,-6.230643311E0,-1.146885040E1,-4.446204071E0,1.378855236E1
5.364248750E-1,-6.079906769E0,-1.142469223E1,-4.142635345E0,1.358860870E1
5.464818750E-1,-5.854325867E0,-1.141496246E1,-4.152514801E0,1.348398600E1
5.565388750E-1,-5.794600067E0,-1.165895508E1,-4.407883759E0,1.374547426E1
5.665948750E-1,-5.903124390E0,-1.196970886E1,-4.620890808E0,1.412350663E1
5.766518750E-1,-5.993985443E0,-1.198527649E1,-4.685706024E0,1.419614578E1
5.867088750E-1,-5.886958008E0,-1.176688065E1,-4.728816376E0,1.398132537E1
5.967648750E-1,-5.650749207E0,-1.144085861E1,-4.785099335E0,1.362796346E1
6.068218750E-1,-5.279521179E0,-1.087398743E1,-4.749323730E0,1.298741785E1
6.168788750E-1,-4.970264282E0,-9.987081757E0,-4.662354584E0,1.209061121E1
6.269358750E-1,-4.724625092E0,-9.005722504E0,-4.313430176E0,1.104675518E1
6.369925000E-1,-4.144730988E0,-7.887248383E0,-3.972139893E0,9.755274334E0
6.470495000E-1,-3.617227936E0,-7.092101898E0,-4.115541687E0,8.962138732E0
6.571065000E-1,-3.328179016E0,-6.244414673E0,-6.201603699E0,9.409005187E0
6.671625000E-1,-3.454665985E0,-3.236719208E0,-9.514813843E0,1.062745269E1
