"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675975541570049E9,"2023-02-09 15:45:41.570 UTC-05:00"
"PAUSE",6.060384791667457E1,1.675975602173824E9,"2023-02-09 15:46:42.174 UTC-05:00"
