"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.234916665e-3,1.477123033e0,1.173288552e0,-5.894799563e-1,1.976356522e0
1.320791667e-2,8.152790326e-1,1.040487467e0,-9.528879174e-1,1.629505892e0
2.318091667e-2,-3.845070541e-2,1.062537902e0,-1.330587716e0,1.703211355e0
3.315291667e-2,-5.928281450e-1,1.397057109e0,-1.556450454e0,2.173879434e0
4.312591667e-2,-7.753203303e-1,1.772596874e0,-1.532127206e0,2.467921204e0
5.309891667e-2,-8.393081653e-1,2.059420343e0,-1.400245596e0,2.627991262e0
6.307091667e-2,-8.929008204e-1,2.270418289e0,-1.458537658e0,2.842429099e0
7.304391667e-2,-9.236232609e-1,2.325519818e0,-1.552247475e0,2.944587336e0
8.301691667e-2,-1.019304174e0,2.159809434e0,-1.344301630e0,2.740602974e0
9.298891667e-2,-1.113646660e0,1.718046445e0,-6.914331047e-1,2.161011848e0
1.029619167e-1,-1.090755980e0,1.075639758e0,2.222644345e-1,1.547950573e0
1.129349167e-1,-1.026070572e0,6.682069409e-1,9.230847323e-1,1.533429737e0
1.229069167e-1,-1.071181256e0,5.997138262e-1,8.289083076e-1,1.481274768e0
1.328799167e-1,-1.201207545e0,8.256417605e-1,3.494179495e-1,1.498891853e0
1.428529167e-1,-1.320484312e0,1.196231564e0,-3.341461551e-1,1.812816159e0
1.528249167e-1,-1.551054643e0,1.575049570e0,-9.397481275e-1,2.402015445e0
1.627979167e-1,-1.869302804e0,2.022254271e0,-1.479473029e0,3.126123119e0
1.727709167e-1,-2.125551183e0,2.516475848e0,-1.738464922e0,3.724631365e0
1.827429167e-1,-2.261132911e0,2.933301048e0,-1.728680191e0,4.087213266e0
1.927159167e-1,-2.411991075e0,3.184327571e0,-1.769063401e0,4.368893263e0
2.026889167e-1,-2.771297214e0,3.212162949e0,-1.886859069e0,4.643093387e0
2.126609167e-1,-3.279876922e0,2.808712378e0,-1.662018424e0,4.626960458e0
2.226339167e-1,-3.908239766e0,1.713769791e0,-1.166114895e0,4.423931387e0
2.326069167e-1,-4.236478479e0,5.855869532e-1,-6.427540112e-1,4.324788400e0
2.425799167e-1,-4.574249323e0,-3.918596354e-1,1.599611092e-1,4.593789111e0
2.525519167e-1,-5.098706560e0,-1.228698229e0,1.019473743e0,5.342830209e0
2.625249167e-1,-5.563905190e0,-1.705530772e0,1.800680466e0,6.091660391e0
2.724979167e-1,-5.714511924e0,-2.125901431e0,2.438392423e0,6.566647625e0
2.824699167e-1,-5.203988017e0,-2.445424869e0,2.861736099e0,6.422704070e0
2.924429167e-1,-3.988759434e0,-2.592689334e0,3.041178961e0,5.646327061e0
3.024159167e-1,-2.456264437e0,-3.066297722e0,2.884565967e0,4.874026829e0
3.123879167e-1,-9.430097044e-1,-3.902925231e0,2.594089158e0,4.780312879e0
3.223609167e-1,2.871596843e-1,-4.499247673e0,2.216708690e0,5.023891691e0
3.323339167e-1,1.221893824e0,-4.627194691e0,1.729269006e0,5.088646826e0
3.423059167e-1,1.930923101e0,-4.347793385e0,1.101153499e0,4.883063626e0
3.522789167e-1,2.396769603e0,-3.784467951e0,5.711847494e-1,4.515855868e0
3.622519167e-1,2.622804834e0,-3.048108788e0,2.574669385e-1,4.029436884e0
3.722239167e-1,2.566059360e0,-2.386101943e0,2.604297958e-1,3.513682797e0
3.821969167e-1,2.344473276e0,-1.857557502e0,4.470436102e-1,3.024388004e0
3.921699167e-1,2.019324231e0,-1.359477347e0,8.675349411e-1,2.584272795e0
4.021419167e-1,1.639013724e0,-9.668341845e-1,1.183194612e0,2.240777503e0
4.121149167e-1,1.300290368e0,-6.133238053e-1,1.323859910e0,1.954360814e0
4.220879167e-1,1.041054062e0,-3.819240466e-1,1.463189703e0,1.835914934e0
4.320599167e-1,8.689056015e-1,-2.488004878e-1,1.603643916e0,1.840807550e0
4.420328750e-1,7.951347899e-1,-7.496598244e-2,1.587250662e0,1.776857872e0
4.520058750e-1,7.887548929e-1,2.105596974e-1,1.440072736e0,1.655378855e0
4.619778750e-1,9.280361545e-1,4.040490335e-1,1.183083515e0,1.556982122e0
4.719508750e-1,1.142800292e0,5.676131970e-1,1.035692165e0,1.643421891e0
4.819238750e-1,1.372202935e0,7.745967373e-1,9.117235923e-1,1.820489195e0
4.918958750e-1,1.663902982e0,8.716941386e-1,7.666109025e-1,2.028821352e0
5.018688750e-1,1.986016152e0,8.688775349e-1,6.197037023e-1,2.254604401e0
5.118418750e-1,2.332266043e0,8.171530652e-1,4.284354311e-1,2.508138941e0
5.218138750e-1,2.624919187e0,7.168993369e-1,3.247110149e-1,2.740361772e0
5.317868750e-1,2.902313436e0,5.885096839e-1,2.592210666e-1,2.972702893e0
