"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.152500092E-4,-1.170145089E0,-8.260513580E-1,1.474348530E0,2.055554417E0
9.732749983E-3,-6.545963770E-1,2.292745882E-1,1.371368537E0,1.536787206E0
1.968075000E-2,-2.277627906E-1,1.028657965E0,1.273558652E0,1.652865614E0
2.962875000E-2,1.413441592E-1,1.573672843E0,1.216245414E0,1.993910052E0
3.957674999E-2,4.518237090E-1,1.749062415E0,1.163498851E0,2.148742324E0
4.952474998E-2,7.359466419E-1,1.582385194E0,1.045730008E0,2.034480674E0
5.947275000E-2,1.006173959E0,1.180130087E0,9.032919804E-1,1.794722669E0
6.941974998E-2,1.324801019E0,8.222126609E-1,7.757069043E-1,1.741508714E0
7.936775000E-2,1.639900746E0,4.771748972E-1,6.738671187E-1,1.836046632E0
8.931575000E-2,1.979690926E0,1.962348962E-1,6.060347394E-1,2.079654395E0
9.926374999E-2,2.282527873E0,9.605805874E-2,4.891372041E-1,2.336325287E0
1.092117500E-1,2.578719167E0,1.204292536E-2,3.281293702E-1,2.599539662E0
1.191597500E-1,2.801146958E0,-3.176090598E-2,2.388214103E-1,2.811488698E0
1.291077500E-1,2.924724352E0,-1.070461464E-1,1.894440130E-1,2.932807605E0
1.390557500E-1,3.092803735E0,-2.337675887E-1,1.354355478E-1,3.104581295E0
1.490037500E-1,3.117895892E0,-4.641525632E-1,1.439455855E-1,3.155540006E0
1.589517500E-1,3.101568712E0,-6.642770272E-1,1.160263733E-1,3.174028129E0
1.688997500E-1,3.068281682E0,-7.864686316E-1,9.455422796E-2,3.168884014E0
1.788477500E-1,2.936113851E0,-8.503786987E-1,1.258624864E-1,3.059370825E0
1.887957500E-1,2.870238827E0,-8.130822337E-1,2.731983606E-1,2.995665366E0
1.987427500E-1,2.762142228E0,-8.006715184E-1,3.378545324E-1,2.895626056E0
2.086907500E-1,2.631030404E0,-7.063570994E-1,4.739507425E-1,2.765120367E0
2.186387500E-1,2.404179779E0,-5.669366741E-1,4.754405399E-1,2.515460457E0
2.285867500E-1,2.317876046E0,-3.566281146E-1,3.773079622E-1,2.375309301E0
2.385347500E-1,2.169505872E0,-1.103714579E-1,3.966447774E-1,2.208226589E0
2.484827500E-1,2.008301353E0,1.227219468E-1,4.647870592E-1,2.065033174E0
2.584307500E-1,1.847013803E0,3.647680235E-1,4.395843903E-1,1.933326184E0
2.683787500E-1,1.708959579E0,5.628395301E-1,3.469890527E-1,1.832411685E0
2.783267500E-1,1.573574025E0,7.805968577E-1,2.866938074E-1,1.779792124E0
2.882747500E-1,1.397853500E0,9.836630559E-1,2.613108250E-1,1.729124276E0
2.982227500E-1,1.188367936E0,1.170820150E0,1.882674801E-1,1.678833768E0
3.081707500E-1,9.815352541E-1,1.324801896E0,3.217496194E-2,1.649104832E0
3.181177500E-1,7.384758550E-1,1.356000300E0,-1.749428451E-1,1.553926768E0
