"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.101958327E-3,2.778576047E-1,-6.139927268E-2,8.860110462E-2,2.980350230E-1
1.715895836E-2,2.835116795E-1,-7.442058340E-2,-1.828950584E-2,2.936865705E-1
2.721695835E-2,2.801067728E-1,-3.183268055E-2,-1.371674931E-1,3.135092421E-1
3.727395833E-2,2.626729339E-1,2.322879508E-2,-1.490028423E-1,3.028836313E-1
4.733095836E-2,1.516188866E-1,6.638460875E-2,-1.308039683E-1,2.109618003E-1
5.738795834E-2,3.352292787E-2,8.969146416E-2,-9.159604847E-2,1.325072886E-1
6.744495832E-2,-2.454076409E-3,9.910241157E-2,-7.828953981E-2,1.263192880E-1
7.750195835E-2,-2.220973503E-2,9.966286719E-2,-6.890125036E-2,1.231801190E-1
8.755895833E-2,-3.385596335E-2,1.030501592E-1,-4.641285896E-2,1.179818420E-1
9.761695832E-2,2.819757622E-2,7.688343063E-2,-1.106737590E-1,1.376765998E-1
1.076739584E-1,1.359187471E-1,4.307409883E-2,-2.522091222E-1,2.897218064E-1
1.177309583E-1,2.203459996E-1,4.895508215E-2,-4.105330110E-1,4.684936634E-1
1.277879584E-1,1.806843358E-1,8.947336301E-2,-5.415796387E-1,5.778934305E-1
1.378449583E-1,1.452821859E-1,1.061358811E-1,-6.495841438E-1,6.740410215E-1
1.479019583E-1,1.468444157E-1,1.171745472E-1,-7.704607093E-1,7.930339599E-1
1.579589584E-1,6.764135811E-2,1.638730426E-1,-8.789715832E-1,8.966720535E-1
1.680169583E-1,6.660417169E-3,2.718931890E-1,-8.143259364E-1,8.585435330E-1
1.780739583E-1,3.342685081E-2,4.155104533E-1,-6.714129692E-1,7.902921399E-1
1.881309584E-1,7.006671008E-2,5.206698494E-1,-6.079250711E-1,8.034795131E-1
1.981879583E-1,2.832161028E-2,5.021631195E-1,-5.338361710E-1,7.334514092E-1
2.082449583E-1,3.379902609E-2,5.036237539E-1,-5.689329135E-1,7.605681559E-1
2.183019583E-1,1.193822365E-2,5.239004360E-1,-6.102446616E-1,8.043710183E-1
2.283599583E-1,-9.935238004E-2,4.745085669E-1,-4.470827866E-1,6.594788044E-1
2.384169583E-1,-1.508549113E-1,3.769647306E-1,-1.274622846E-1,4.255657956E-1
2.484739583E-1,-1.117360884E-1,3.350716232E-1,1.815215474E-1,3.971246886E-1
2.585309583E-1,-3.270654693E-2,3.196038374E-1,4.341697955E-1,5.401108613E-1
2.685879584E-1,3.298874818E-2,2.811035769E-1,6.451864529E-1,7.045374634E-1
2.786449583E-1,4.274588730E-2,1.966091180E-1,8.215618658E-1,8.458405615E-1
2.887019583E-1,3.607859965E-2,1.155250476E-1,1.059779186E0,1.066667532E0
2.987599584E-1,9.601365644E-2,8.201860160E-2,1.194497280E0,1.201153373E0
3.088169583E-1,1.263666260E-1,9.921672463E-2,1.244398003E0,1.254726613E0
3.188739583E-1,1.045654652E-1,1.142733049E-1,1.302728072E0,1.311904248E0
3.289309583E-1,7.457447480E-2,1.006685883E-1,1.339723406E0,1.345568401E0
3.389879583E-1,7.317271449E-2,6.506343037E-2,1.347410740E0,1.350963804E0
3.490449584E-1,1.408718504E-2,5.146865398E-2,1.327693929E0,1.328765834E0
3.591019583E-1,-3.589459509E-4,6.966942832E-2,1.289024538E0,1.290905968E0
3.691599583E-1,3.387657478E-2,4.959169775E-2,1.149296549E0,1.150864682E0
3.792169584E-1,1.205609621E-1,-2.360228598E-3,1.040459985E0,1.047424220E0
3.892739583E-1,2.717964541E-1,-8.204301372E-2,9.188618731E-1,9.617231985E-1
3.993309583E-1,4.025424253E-1,-1.464679281E-1,6.550138682E-1,7.826470633E-1
4.093879584E-1,4.744476462E-1,-1.833249749E-1,3.201017278E-1,6.009773137E-1
