"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.515041673e-3,-1.880706629e0,-6.746256049e0,2.597374123e-1,7.008315891e0
8.461333331e-3,-1.078777374e0,-4.539543759e0,6.564025819e-2,4.666425485e0
1.843333333e-2,4.206545413e-2,-7.424968098e0,-2.814849615e-3,7.425087789e0
2.840633333e-2,-3.528005272e-1,-6.487951789e0,5.500031376e-1,6.520773734e0
3.837933333e-2,-1.294875262e0,-5.424122822e0,3.032418662e-1,5.584779849e0
4.835133333e-2,-1.727328315e0,-4.688274121e0,-5.895519501e-1,5.031018669e0
5.832433333e-2,-2.294647982e0,-3.881971734e0,-9.405129433e-1,4.606482226e0
6.829733333e-2,-1.569536523e0,-3.793065113e0,-2.477668463e0,4.794750135e0
7.826933333e-2,-7.174463439e-1,-3.453660264e0,-2.100488262e0,4.105429261e0
8.824233333e-2,4.123456478e-2,-3.537199726e0,-2.001624709e-1,3.543098532e0
9.821533333e-2,1.395398839e0,-3.759970164e0,7.254921126e-1,4.075641344e0
1.081873333e-1,1.263127220e-1,-5.823753700e-1,2.237619210e0,2.315611303e0
1.181603333e-1,-3.139616252e0,2.191838143e0,2.191328266e0,4.411718964e0
1.281333333e-1,-4.250599505e0,8.811841697e-1,-2.885951757e-1,4.350559604e0
1.381053333e-1,-4.653339347e0,7.057554209e0,1.960898268e0,8.678004408e0
1.480783333e-1,-3.831982718e0,5.225794623e0,1.463322435e0,6.643367636e0
1.580513333e-1,-2.979927038e0,2.363831652e0,-1.299103383e0,4.019369955e0
1.680233333e-1,-2.729769119e0,2.396285161e0,-1.570173869e0,3.957179298e0
1.779963333e-1,-3.684689017e0,2.940126795e0,-2.683538401e0,5.424265579e0
1.879693333e-1,-5.657850065e0,1.314544711e0,-4.023933944e0,7.066211117e0
1.979423333e-1,-6.789773952e0,8.260969663e-1,-4.210112214e0,8.031719079e0
2.079143333e-1,-6.253888916e0,1.312366623e0,-2.557492020e0,6.882891700e0
2.178873333e-1,-4.674748342e0,1.933560780e0,-4.157551593e-1,5.075902058e0
2.278603333e-1,-2.199036650e0,1.955665010e0,9.545714039e-1,3.093799344e0
2.378323333e-1,4.564932954e-1,9.715318376e-1,3.851525867e-1,1.140439720e0
2.478053333e-1,2.461305322e0,-1.330533922e-2,8.753544956e-1,2.612364143e0
2.577783333e-1,2.642830963e0,-1.315623522e-3,3.785080740e0,4.616426479e0
2.677503333e-1,1.836180081e0,5.216149056e-1,2.961343710e0,3.523236575e0
2.777233333e-1,1.093513527e0,6.618735293e0,3.907243985e-1,6.719828440e0
2.876963333e-1,2.116473380e0,1.332002742e1,2.536423332e0,1.372355761e1
2.976683333e-1,3.699987087e0,4.957209789e0,2.707680677e0,6.752434226e0
3.076413333e-1,2.338082854e0,5.275494787e0,2.570908456e0,6.317202463e0
3.176143333e-1,1.309168780e0,6.472635008e0,2.761007284e0,7.157659399e0
3.275863333e-1,2.213870451e0,5.094336936e0,2.331635714e0,6.024119545e0
3.375593333e-1,2.249157228e0,5.411352503e0,1.624456203e0,6.081143158e0
3.475323333e-1,2.354639829e0,5.459051165e0,-1.229552507e-2,5.945226617e0
3.575043333e-1,3.596900091e0,3.837108972e0,-9.078512737e-1,5.337161180e0
3.674773333e-1,5.152281089e0,2.174631541e0,-2.343652619e0,6.063640025e0
3.774503333e-1,6.404433085e0,-4.848669094e-1,-4.604685542e0,7.902846829e0
3.874223333e-1,7.162167329e0,-3.159999061e0,-5.190535913e0,9.392757741e0
3.973953333e-1,8.660849047e0,-6.558009619e0,-4.122876434e0,1.161963452e1
4.073683333e-1,1.080357292e1,-8.486696160e0,-2.614414664e0,1.398486194e1
4.173403333e-1,1.243301884e1,-1.087407046e1,-6.216957318e0,1.764868052e1
4.273133333e-1,1.410435656e1,-1.395651790e1,-1.171091110e1,2.304045799e1
4.372863333e-1,1.575754686e1,-1.634674271e1,-1.397368766e1,2.666046187e1
4.472583333e-1,1.567324170e1,-1.698024292e1,-1.168730121e1,2.589540818e1
4.572313333e-1,1.282874904e1,-1.778562788e1,-5.767708722e0,2.267535722e1
4.672043333e-1,9.009736617e0,-1.428778839e1,-1.231395550e0,1.693613256e1
4.771763333e-1,5.890938792e0,-1.062654495e1,-1.910501701e-1,1.215167140e1
4.871493333e-1,4.423381804e0,-1.005741557e1,9.614693642e-1,1.102915853e1
4.971223333e-1,3.220479736e0,-9.794661584e0,2.721782407e-1,1.031411490e1
5.070953333e-1,2.312729911e0,-8.280129819e0,-1.562091263e0,8.737814290e0
5.170673333e-1,2.174742638e0,-6.534428383e0,-3.366378291e0,7.665556903e0
5.270403333e-1,1.585884168e0,-4.381543221e0,-3.837235857e0,6.036334038e0
5.370133333e-1,-1.152176303e-1,-2.380428974e0,-2.892732773e0,3.748015488e0
5.469853333e-1,-2.279483812e0,3.817880988e-2,-9.783841896e-1,2.480874784e0
5.569583333e-1,-4.419849501e0,2.802668111e0,3.900534305e-1,5.248062483e0
5.669313333e-1,-6.492824859e0,3.886559460e0,1.210214888e0,7.663337338e0
5.769033333e-1,-7.810328845e0,3.388287808e0,2.517116703e0,8.877928105e0
5.868763333e-1,-8.851785781e0,3.194573062e0,3.397821986e0,1.000522877e1
5.968493333e-1,-9.841715298e0,3.010683392e0,2.846551172e0,1.067831579e1
6.068213333e-1,-9.987626717e0,3.240154447e0,1.715842629e0,1.063933288e1
6.167943333e-1,-1.095303009e1,4.228439142e0,3.788293785e0,1.233692569e1
6.267673333e-1,-1.156592120e1,4.357496547e0,4.335681755e0,1.309795578e1
6.367393333e-1,-1.163617199e1,6.190769393e0,6.813264556e0,1.483734134e1
6.467123333e-1,-1.293749790e1,6.567293243e0,7.180895376e0,1.618868280e1
6.566853333e-1,-1.382833290e1,5.157698534e0,6.924557535e0,1.630258084e1
6.666573333e-1,-1.400124910e1,5.852806175e0,7.652220719e0,1.699549347e1
6.766303333e-1,-1.362122686e1,6.216606485e0,7.619893802e0,1.680020234e1
