"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675975351474292e9,"2023-02-09 15:42:31.474 UTC-05:00"
"PAUSE",6.060577562499384e1,1.675975412080829e9,"2023-02-09 15:43:32.081 UTC-05:00"
