"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.650916664e-3,3.899891111e-1,-4.002414436e0,1.701897604e0,4.366677030e0
1.262291666e-2,-1.875061727e-1,-3.600403157e0,1.889964817e0,4.070629985e0
2.259491666e-2,-5.862699080e-1,-3.143633289e0,1.744244894e0,3.642599746e0
3.256791666e-2,-8.325815284e-1,-2.629634382e0,1.573127882e0,3.175358297e0
4.253991666e-2,-1.007861758e0,-2.192261481e0,1.699660460e0,2.951379576e0
5.251191666e-2,-1.030865143e0,-1.768013826e0,2.150757652e0,2.968891091e0
6.248491666e-2,-8.042886060e-1,-1.560172791e0,2.403456771e0,2.976176028e0
7.245691666e-2,-5.414501229e-1,-1.397340699e0,2.629440839e0,3.026497710e0
8.242891666e-2,-3.322054642e-1,-1.087530656e0,2.684944949e0,2.915821115e0
9.240191666e-2,-9.000765234e-2,-3.097778839e-1,2.834654135e0,2.852950714e0
1.023739167e-1,8.278429449e-2,4.383055311e-1,2.867120799e0,2.901611045e0
1.123469167e-1,2.487426004e-1,1.052680081e0,2.767316430e0,2.971203200e0
1.223189167e-1,4.488850446e-1,1.870306771e0,2.914111656e0,3.491646022e0
1.322909167e-1,7.856507523e-1,2.740965368e0,3.103596526e0,4.214552129e0
1.422639167e-1,1.141124334e0,3.355787230e0,3.205705284e0,4.779123250e0
1.522359167e-1,1.330156192e0,4.102722251e0,3.364183831e0,5.469860896e0
1.622079167e-1,1.409180580e0,4.551988388e0,3.253546617e0,5.769918005e0
1.721809167e-1,1.495860728e0,4.919656046e0,2.988665117e0,5.947498139e0
1.821529167e-1,1.640586040e0,5.183802259e0,2.576418287e0,6.016748258e0
1.921249167e-1,1.577413014e0,5.289369060e0,2.241657590e0,5.957405947e0
2.020979167e-1,1.355835116e0,5.335784258e0,1.851402138e0,5.808319239e0
2.120699167e-1,9.949447469e-1,5.501131822e0,1.265143047e0,5.731749585e0
2.220429167e-1,5.662519652e-1,4.964208321e0,3.418679881e-1,5.008081395e0
2.320149167e-1,1.422300855e-1,3.715126113e0,-4.978883663e-1,3.751037758e0
2.419869167e-1,-3.818705446e-1,2.320710776e0,-9.699899268e-1,2.544091994e0
2.519599167e-1,-9.348852175e-1,1.277763970e0,-1.169268006e0,1.968217164e0
2.619319167e-1,-1.548890881e0,9.392423433e-1,-1.319649037e0,2.241140942e0
2.719039167e-1,-2.091013726e0,9.663664073e-1,-1.399468501e0,2.695313437e0
2.818769167e-1,-2.438506005e0,1.172698860e0,-1.568943323e0,3.127797516e0
2.918489167e-1,-2.553652153e0,1.152241791e0,-1.916717291e0,3.394496375e0
3.018209167e-1,-2.440547999e0,7.030364656e-1,-2.215465572e0,3.370285226e0
3.117939167e-1,-2.467102252e0,6.069608653e-1,-2.242537596e0,3.388800655e0
3.217659167e-1,-2.549391287e0,7.044304419e-1,-2.127641562e0,3.394477397e0
3.317379167e-1,-2.632291356e0,8.254724836e-1,-2.078354504e0,3.453971634e0
3.417109167e-1,-2.632037002e0,7.795636547e-1,-1.944391578e0,3.363925814e0
3.516829167e-1,-2.377216514e0,4.250820529e-1,-1.480767603e0,2.832759397e0
3.616559167e-1,-2.017383979e0,1.718841666e-1,-9.067332861e-1,2.218456116e0
3.716279167e-1,-1.586584665e0,-2.942201972e-1,-7.093198836e-1,1.762654566e0
3.815999167e-1,-1.207509966e0,-8.886610043e-1,-7.046204764e-1,1.656589483e0
3.915729167e-1,-9.415692428e-1,-1.448386892e0,-5.790836799e-1,1.822008545e0
4.015449167e-1,-6.626830763e-1,-2.104660835e0,-6.464471126e-1,2.299269441e0
4.115169167e-1,-4.877418391e-1,-2.671919691e0,-7.821273664e-1,2.826441253e0
4.214899167e-1,-3.825928219e-1,-3.062514281e0,-7.537256858e-1,3.177022726e0
4.314619167e-1,-2.228334416e-1,-3.292858910e0,-7.541349909e-1,3.385453312e0
4.414339167e-1,-1.317181805e-1,-3.493187442e0,-7.701373583e-1,3.579499928e0
4.514069167e-1,1.016903892e-2,-3.488008563e0,-8.417175105e-1,3.588146529e0
4.613789167e-1,1.964895424e-1,-3.445630283e0,-1.258695030e0,3.673593522e0
4.713519167e-1,4.451836109e-1,-3.555134014e0,-1.613183649e0,3.929316453e0
4.813239167e-1,6.457398918e-1,-3.722972492e0,-1.813456632e0,4.191196624e0
4.912959167e-1,7.107240924e-1,-3.530666925e0,-1.780109376e0,4.017403024e0
5.012689167e-1,4.945839585e-1,-2.667663503e0,-1.647372026e0,3.174094587e0
5.112409167e-1,3.266343834e-1,-1.520885350e0,-1.787596444e0,2.369658902e0
5.212129167e-1,3.269570035e-1,-5.728879702e-1,-1.474105285e0,1.614957554e0
5.311859167e-1,4.465356334e-1,2.046659964e-1,-5.860906908e-1,7.647120633e-1
5.411579167e-1,8.058185300e-1,8.303759587e-1,-1.130442202e-1,1.162603428e0
5.511299167e-1,1.301511852e0,1.072377596e0,1.959132993e-1,1.697736384e0
5.611029167e-1,1.717839746e0,8.120361668e-1,4.141664708e-1,1.944713345e0
5.710749167e-1,2.008117311e0,4.422091323e-1,7.316623870e-1,2.182524662e0
5.810479167e-1,2.215145144e0,2.740350240e-1,8.288504201e-1,2.380956998e0
5.910199167e-1,2.305295469e0,1.168612826e-1,2.444872892e-1,2.321167334e0
6.009919167e-1,2.332312821e0,-1.694125485e-1,-1.565381491e-1,2.343691084e0
6.109649167e-1,2.258762742e0,-6.100271451e-1,1.466013908e-1,2.344276906e0
6.209370417e-1,2.185576944e0,-1.080467219e0,4.603980660e-1,2.481153436e0
