"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675975497330421E9,"2023-02-09 15:44:57.330 UTC-05:00"
"PAUSE",6.053699687501648E1,1.675975557866700E9,"2023-02-09 15:45:57.867 UTC-05:00"
