"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.457374994e-3,4.683356613e-1,1.196205837e-1,-3.317710161e-3,4.833822327e-1
8.514625006e-3,7.480321057e-1,-5.007292360e-1,-2.254636654e-1,9.279631800e-1
1.848662501e-2,1.006846681e0,-1.099999259e0,-2.978864014e-1,1.520682385e0
2.845862501e-2,1.221948788e0,-1.470801609e0,-3.253773782e-1,1.939661478e0
3.843162501e-2,1.382418897e0,-1.716349583e0,-4.022907758e-1,2.240262432e0
4.840362501e-2,1.503169456e0,-1.718365703e0,-5.755274034e-1,2.354470406e0
5.837562501e-2,1.571704963e0,-1.505981966e0,-8.189797354e-1,2.325718379e0
6.834762501e-2,1.637334550e0,-1.104233227e0,-1.149424895e0,2.285032393e0
7.832062501e-2,1.734486769e0,-6.822472751e-1,-2.137125746e0,2.835703114e0
8.829262501e-2,1.882194745e0,-4.894680834e-1,-3.465413752e0,3.973830461e0
9.826462500e-2,1.790910938e0,-5.244356024e-1,-3.011867746e0,3.543126022e0
1.082366250e-1,1.625221896e0,-4.585222793e-1,-1.344259968e0,2.158384524e0
1.182096250e-1,1.477272137e0,-2.276204109e-1,1.010781857e-1,1.498119094e0
1.281816250e-1,1.314428789e0,-5.259044230e-2,5.381563863e-1,1.421302604e0
1.381536250e-1,1.164368624e0,-1.497647345e-1,3.329118079e-1,1.220251630e0
1.481256250e-1,1.034343213e0,-4.005588305e-1,-1.347987860e-2,1.109276776e0
1.580986250e-1,8.949074386e-1,-3.776897854e-1,-9.298768580e-2,9.757846111e-1
1.680706250e-1,7.479986304e-1,4.314777374e-2,1.783903635e-1,7.701862134e-1
1.780426250e-1,6.059177220e-1,5.683160323e-1,5.249805629e-1,9.827125672e-1
1.880146250e-1,4.209065562e-1,8.516633320e-1,5.440167582e-1,1.094736038e0
1.979876250e-1,1.928506739e-1,7.956908602e-1,2.884166895e-1,8.680434978e-1
2.079596250e-1,-3.404395133e-2,6.510044324e-1,6.016901851e-2,6.546648551e-1
2.179316250e-1,-2.451108947e-1,5.999605787e-1,9.362561703e-3,6.481664171e-1
2.279036250e-1,-3.959222808e-1,5.227130127e-1,8.724922836e-2,6.615102221e-1
2.378766250e-1,-4.705027856e-1,3.891836572e-1,2.066123883e-1,6.446126506e-1
2.478486250e-1,-4.918784519e-1,3.009287077e-1,2.889552180e-1,6.449787722e-1
2.578206250e-1,-4.392994116e-1,2.647952539e-1,2.764725821e-1,5.826985397e-1
2.677926250e-1,-2.566269860e-1,4.384663296e-1,8.703463554e-2,5.154465636e-1
2.777656250e-1,-2.045765340e-2,6.823501861e-1,-3.379813439e-1,7.617425292e-1
2.877376250e-1,1.752153254e-1,8.111748719e-1,-9.537028000e-1,1.264220754e0
2.977096250e-1,3.388163263e-1,7.604771733e-1,-1.533163333e0,1.744623696e0
3.076816250e-1,5.504065955e-1,4.125514698e-1,-1.838491193e0,1.962955935e0
3.176546250e-1,8.020070225e-1,-1.427416438e-1,-1.801717762e0,1.977315689e0
3.276266250e-1,9.975972632e-1,-5.016010559e-1,-1.432408937e0,1.816204636e0
3.375986250e-1,1.089575720e0,-4.972062886e-1,-1.090276655e0,1.619596408e0
3.475706250e-1,1.080386820e0,-2.586071455e-1,-1.036057616e0,1.519055207e0
3.575436250e-1,9.609691349e-1,1.411786830e-1,-1.145557255e0,1.501896975e0
3.675156250e-1,6.068304724e-1,6.206263930e-1,-1.299916293e0,1.563074761e0
3.774876250e-1,1.372268423e-1,1.108991691e0,-1.475170794e0,1.850627637e0
3.874596250e-1,-2.313784164e-1,1.333440573e0,-1.694383348e0,2.168532836e0
3.974326250e-1,-3.954866633e-1,1.327022084e0,-1.966025691e0,2.404715021e0
4.074046250e-1,-5.518052495e-1,1.299553034e0,-2.463238996e0,2.839167743e0
4.173766250e-1,-7.902044177e-1,1.359236149e0,-2.974378030e0,3.364352924e0
4.273486250e-1,-1.055879385e0,1.582558272e0,-3.469466457e0,3.956838316e0
4.373216250e-1,-1.402608456e0,1.891549705e0,-3.880959581e0,4.539506365e0
4.472936250e-1,-1.883166552e0,1.983014191e0,-3.777439306e0,4.663443926e0
4.572656250e-1,-2.625495430e0,1.914767244e0,-2.629741970e0,4.180323275e0
4.672376250e-1,-3.904662732e0,1.111712401e0,-2.504245520e-1,4.067555527e0
4.772106250e-1,-5.293342828e0,-1.515294242e-1,2.447430464e0,5.833725682e0
4.871826250e-1,-5.593283356e0,-6.702318317e-1,4.314837308e0,7.095903776e0
4.971546250e-1,-5.587723238e0,-2.194479915e0,2.429552017e0,6.476196113e0
5.071266250e-1,-5.451575500e0,-3.151673210e0,2.868362163e0,6.919553523e0
5.170996250e-1,-4.242359024e0,-2.297061127e-1,1.059891452e1,1.141872865e1
5.270716250e-1,-3.486213175e0,9.278151298e-1,1.122038584e1,1.178607575e1
5.370436250e-1,-3.265350099e0,-8.958916712e-1,1.069465215e1,1.121787493e1
5.470156250e-1,-2.192747823e0,-5.498483033e0,1.203565376e1,1.341262167e1
5.569886250e-1,-2.057459772e-1,-1.113165083e1,1.398739938e1,1.787745293e1
5.669606250e-1,1.365549680e0,-1.646355839e1,1.289707025e1,2.095824185e1
5.769326250e-1,2.676687218e0,-2.045647460e1,1.032361591e1,2.306965655e1
5.869046250e-1,5.177418854e0,-2.347503887e1,2.657994547e0,2.418569931e1
5.968776250e-1,8.732182739e0,-2.476177481e1,-7.425786123e0,2.728623841e1
6.068496250e-1,1.374737352e1,-2.616913647e1,-1.956632022e1,3.544932819e1
6.168216250e-1,1.361180115e1,-2.385248366e1,-1.789032929e1,3.277630225e1
6.267936250e-1,9.195113234e0,-1.423934538e1,-1.010598840e0,1.698029370e1
6.367661250e-1,5.577924474e0,-6.393536798e0,9.305365409e0,1.259287019e1
6.467381250e-1,3.415323872e0,-4.892757100e-1,9.833668360e0,1.042136561e1
6.567101250e-1,1.965731868e0,4.258492076e0,2.930825629e0,5.530695744e0
6.666821250e-1,2.696002033e-1,7.425618308e0,-3.862928522e0,8.374646757e0
6.766551250e-1,-1.214242743e0,8.012631397e0,-5.506964419e0,9.798127600e0
6.866271250e-1,-2.166011284e0,7.896916169e0,-5.059965248e0,9.625805845e0
6.965991250e-1,-2.759909762e0,8.365374622e0,-4.899517651e0,1.007977518e1
7.065711250e-1,-3.229451703e0,9.174308841e0,-5.174495831e0,1.101692825e1
7.165441250e-1,-3.230255403e0,9.748137043e0,-4.775477157e0,1.132545398e1
7.265161250e-1,-2.947063932e0,1.023663390e1,-3.663064259e0,1.126463045e1
7.364881250e-1,-2.904197994e0,1.036945107e1,-2.865700511e0,1.114325450e1
7.464611250e-1,-2.947692508e0,1.057642028e1,-1.884810205e0,1.114011071e1
7.564331250e-1,-2.969746451e0,1.104837479e1,-5.543984896e-1,1.145396600e1
7.664051250e-1,-2.676743644e0,1.153684300e1,1.254607826e0,1.190956522e1
7.763771250e-1,-2.055515719e0,1.216234889e1,2.626907240e0,1.261144389e1
7.863501250e-1,-1.370669356e0,1.256164823e1,3.556620376e0,1.312719655e1
7.963221250e-1,-8.082001010e-1,1.269194174e1,3.646517224e0,1.323010432e1
8.062941250e-1,-1.567027482e-1,1.260434928e1,2.447625176e0,1.284075720e1
8.162661250e-1,6.542331187e-1,1.215633561e1,4.400972642e-1,1.218188007e1
8.262391250e-1,1.274102590e0,1.104169610e1,-1.097548544e0,1.116901978e1
8.362111250e-1,1.465088294e0,9.215627605e0,-1.759851698e0,9.495859828e0
8.461831250e-1,1.378454193e0,7.594498175e0,-2.602538384e0,8.145535252e0
8.561551250e-1,1.154284224e0,6.735006591e0,-3.858143161e0,7.847162194e0
8.661281250e-1,8.659510034e-1,6.389209859e0,-5.014918883e0,8.168309811e0
8.761001250e-1,4.437166907e-1,6.240991713e0,-5.874689380e0,8.582472684e0
8.860721250e-1,-2.497468597e-1,6.504112324e0,-6.223666998e0,9.005547263e0
8.960441250e-1,-1.443447749e0,7.384182014e0,-5.445204374e0,9.287622737e0
9.060171250e-1,-2.827513515e0,8.381318225e0,-3.752692720e0,9.608539458e0
9.159891250e-1,-3.995153949e0,9.324182333e0,-2.231388710e0,1.038656473e1
9.259611250e-1,-4.877828281e0,1.024679286e1,-1.923625776e0,1.151044346e1
9.359331250e-1,-5.646605285e0,1.086666437e1,-3.229269855e0,1.266478305e1
9.459061250e-1,-7.084354337e0,1.094974278e1,-5.834041876e0,1.428709166e1
9.558781250e-1,-7.480759306e0,8.804767735e0,-5.760871573e0,1.291020278e1
9.658501250e-1,-4.559281620e0,5.165098770e0,-3.374462505e-1,6.897765158e0
9.758221250e-1,-2.300436579e0,3.195338463e0,3.673859974e0,5.385113132e0
9.857951250e-1,-1.584270775e0,-2.295035067e0,5.188616856e0,5.890572530e0
9.957671250e-1,-6.040404734e-1,-1.588678436e1,8.442260830e0,1.800073748e1
1.005739125e0,1.116467649e0,-3.743296010e1,1.465622847e1,4.021539550e1
1.015711125e0,5.519340636e0,-6.011718879e1,2.252321742e1,6.443473311e1
1.025684125e0,1.017786588e1,-6.208287300e1,2.224719843e1,6.672937818e1
1.035656125e0,1.230509229e1,-4.518290417e1,1.376163254e1,4.880873544e1
1.045628125e0,1.358449348e1,-3.431655554e1,9.512619383e0,3.811370324e1
1.055600125e0,1.229943803e1,-2.437082763e1,5.522999239e0,2.785169539e1
1.065573125e0,9.789275129e0,-1.514029606e1,-7.700094212e0,1.960484438e1
1.075545125e0,5.723897290e0,-6.330651163e0,-3.781839686e1,3.876946331e1
1.085517125e0,7.811511737e-1,-5.326279024e0,-1.409378245e1,1.508688667e1
1.095490125e0,1.098028162e-1,-3.669713713e0,5.477396804e0,6.593992049e0
1.105462125e0,3.409891516e-1,2.802716643e-1,8.425865822e0,8.437419075e0
1.115434125e0,9.683106065e-2,3.968620453e0,8.627473140e0,9.496979380e0
1.125406125e0,-4.732689571e-1,7.029364783e0,7.044188644e0,9.962757972e0
1.135379125e0,-1.424700260e0,9.272312853e0,3.901121950e0,1.015993646e1
1.145351125e0,-2.336230309e0,9.983220255e0,4.242691438e-1,1.026170858e1
1.155323125e0,-2.894029101e0,1.057094612e1,-2.614953777e0,1.126757692e1
1.165295125e0,-3.147937132e0,1.139889198e1,-4.880401348e0,1.279306702e1
1.175268125e0,-2.969965429e0,1.228136780e1,-5.198434916e0,1.366295777e1
1.185240125e0,-2.556957876e0,1.299151798e1,-4.128260550e0,1.386939466e1
1.195212125e0,-2.146185568e0,1.322778993e1,-3.072892504e0,1.374857110e1
1.205184125e0,-1.870430147e0,1.334173463e1,-2.658003902e0,1.373191088e1
1.215157125e0,-1.499273748e0,1.312773823e1,-3.076200274e0,1.356644172e1
1.225129125e0,-1.184703779e0,1.272484051e1,-3.198431640e0,1.317402953e1
1.235101125e0,-8.436611981e-1,1.216811658e1,-2.746302706e0,1.250267987e1
1.245073125e0,-4.736483683e-1,1.159760609e1,-2.165386363e0,1.180752760e1
1.255046125e0,-5.808916390e-2,1.110734746e1,-1.690953956e0,1.123547361e1
1.265018125e0,4.844751459e-1,1.068516680e1,-1.297618775e0,1.077456821e1
1.274990125e0,1.127606595e0,1.024575439e1,-1.030686364e0,1.035901994e1
1.284962125e0,1.695354278e0,9.771093212e0,-8.858872314e-1,9.956569935e0
1.294935125e0,2.152045209e0,9.337560178e0,-8.833453006e-1,9.622973947e0
1.304907125e0,2.522683545e0,9.084761657e0,-8.429227678e-1,9.466115646e0
1.314879125e0,2.865469546e0,8.949176420e0,-8.230190650e-1,9.432710888e0
1.324851125e0,3.212489516e0,8.650491289e0,-8.838639486e-1,9.269967848e0
1.334824125e0,3.498143834e0,8.439612041e0,-9.783198702e-1,9.188099448e0
1.344796125e0,3.444996445e0,8.383799198e0,-9.099145368e-1,9.109557287e0
1.354768125e0,2.874106468e0,8.716798130e0,-4.860340867e-1,9.191261434e0
1.364741125e0,1.658102836e0,9.213641306e0,3.269026244e-1,9.367355895e0
1.374713125e0,1.094598770e-1,9.305327402e0,4.368443120e-1,9.316218786e0
1.384685125e0,-1.049200111e0,9.271646855e0,-4.085486121e-1,9.339762751e0
1.394657125e0,-2.104250068e0,9.538474016e0,-3.012382593e0,1.022178085e1
1.404630125e0,-4.228971823e0,9.856637392e0,-1.168119672e1,1.585836877e1
1.414602125e0,-5.865188824e0,7.322386301e0,-1.730746831e1,1.968670212e1
1.424574125e0,-2.487124580e0,3.854838899e0,-1.923196006e0,4.974359707e0
1.434546125e0,-5.279793075e-1,4.269711129e0,6.541461999e0,7.829426566e0
1.444519125e0,-4.383254117e-1,1.574421287e0,6.891335410e0,7.082473811e0
1.454491125e0,1.381200045e-1,-6.810600564e0,9.478603790e0,1.167250132e1
1.464463125e0,1.068315097e0,-2.477722316e1,1.321376714e1,2.810081363e1
1.474435125e0,2.570085753e0,-4.926457410e1,1.595323328e1,5.184697922e1
1.484408125e0,5.143721935e0,-6.783734714e1,1.597936683e1,6.988350096e1
1.494380125e0,8.469001901e0,-6.674931596e1,1.141667921e1,6.824614083e1
1.504352125e0,9.371357085e0,-4.426257113e1,5.842258968e0,4.561939858e1
1.514325125e0,7.702861699e0,-2.323215021e1,3.493524241e-1,2.447833591e1
1.524297125e0,6.753469759e0,-1.284027273e1,-9.908553650e0,1.756876186e1
1.534269125e0,4.980131459e0,-8.145733906e0,-8.304676430e0,1.265394566e1
1.544241125e0,2.236873252e0,-5.463586850e0,-7.287221146e0,9.378591325e0
1.554214125e0,-1.702175493e0,-1.306084959e0,-1.883697129e1,1.895876437e1
1.564186125e0,-1.660490254e0,-7.111904079e-1,-1.051760431e1,1.067159876e1
1.574158125e0,2.654020487e-1,-5.182129955e-1,4.291959200e0,4.331269644e0
1.584130125e0,1.022821859e0,1.039260721e-1,8.659908814e0,8.720721636e0
1.594103125e0,4.474988160e-1,2.172701375e0,8.086919103e0,8.385651259e0
1.604075125e0,-9.846892422e-1,4.562497589e0,4.918961982e0,6.781016453e0
1.614047125e0,-1.985280426e0,6.466524083e0,1.890200168e0,7.023541041e0
1.624019125e0,-2.381527812e0,8.125941081e0,-2.082749710e-1,8.470299383e0
1.633992125e0,-2.529669506e0,9.859078020e0,-1.796168754e0,1.033570846e1
1.643964125e0,-2.452133964e0,1.169738298e1,-3.735504245e0,1.252180983e1
1.653936125e0,-2.265958326e0,1.323035686e1,-5.413326523e0,1.447345895e1
1.663909125e0,-2.060746199e0,1.407804526e1,-5.331973042e0,1.519434005e1
1.673881125e0,-1.836607805e0,1.403994363e1,-3.660981481e0,1.462518139e1
1.683853125e0,-1.427909066e0,1.366984645e1,-2.142423323e0,1.391019785e1
1.693825125e0,-9.495550776e-1,1.330771202e1,-1.366777303e0,1.341137331e1
1.703798125e0,-4.394986555e-1,1.299511753e1,-9.999744487e-1,1.304094274e1
1.713770125e0,7.960658859e-2,1.261439713e1,-6.610663942e-1,1.263195792e1
1.723742125e0,5.409373221e-1,1.217990691e1,7.425890788e-3,1.219191538e1
1.733714125e0,8.898187530e-1,1.162821510e1,6.755082129e-1,1.168175822e1
1.743687125e0,1.140204421e0,1.078175345e1,8.153105345e-1,1.087248844e1
1.753659125e0,1.343767048e0,9.864623519e0,7.694871479e-1,9.985420248e0
1.763631125e0,1.466435493e0,9.373220592e0,4.066305061e-1,9.495948909e0
1.773604125e0,1.628194036e0,9.086985937e0,-5.135995424e-1,9.245978246e0
1.783576125e0,1.974885392e0,8.905112388e0,-1.901301838e0,9.317518319e0
1.793548125e0,2.339984953e0,8.639375732e0,-3.318205420e0,9.545932633e0
1.803520125e0,2.836217095e0,8.362102520e0,-4.322012719e0,9.831006048e0
1.813493125e0,3.368571874e0,8.243556654e0,-4.791040106e0,1.011224842e1
1.823465125e0,3.802338797e0,8.368462536e0,-4.583665094e0,1.027126727e1
1.833437125e0,4.122850414e0,8.775639830e0,-4.088794768e0,1.052273694e1
1.843409125e0,4.360736197e0,9.085043492e0,-2.922031417e0,1.049248793e1
1.853382125e0,4.244493257e0,9.168915369e0,-4.340037346e-1,1.011301593e1
1.863354125e0,3.718395876e0,9.045121043e0,1.856137798e0,9.954191584e0
1.873326125e0,2.874838832e0,8.581444443e0,3.459013975e-1,9.056794952e0
1.883299125e0,2.039291011e0,7.088563748e0,-7.359415548e0,1.041957010e1
1.893271125e0,6.151179504e-1,4.705592405e0,-1.271422197e1,1.357101360e1
1.903243125e0,-1.619929143e0,2.047375664e0,-8.399895998e0,8.796258882e0
1.913215125e0,-1.976394266e0,2.034917001e0,8.270067930e-2,2.837932504e0
1.923188125e0,-1.181340753e0,2.222599760e0,2.095644429e0,3.275246744e0
1.933160125e0,-4.992206544e-1,-1.339980683e0,5.285934405e0,5.475935722e0
1.943132125e0,5.400312960e-2,-1.251212816e1,9.104004259e0,1.547382180e1
1.953104125e0,9.180365387e-1,-3.192969405e1,1.167854676e1,3.401083074e1
1.963077125e0,2.224740864e0,-5.448042612e1,8.129648216e0,5.512855415e1
1.973049125e0,3.049763843e0,-6.728158566e1,1.474877118e0,6.736681743e1
1.983021125e0,2.889415063e0,-5.375302314e1,5.437091362e0,5.410451163e1
1.992994125e0,1.912883418e0,-2.858376288e1,7.102426327e0,2.951499760e1
2.002966125e0,1.024156340e0,-1.641940489e1,2.998793079e0,1.672239556e1
2.012938125e0,-3.380681750e-1,-1.189543636e1,-2.705183916e0,1.220384023e1
2.022910125e0,-1.781777295e0,-1.113597777e1,-4.190345117e0,1.203094857e1
2.032883125e0,-1.770147475e0,-9.559045690e0,-8.953016871e-1,9.762701558e0
2.042855125e0,-1.227810329e0,-7.547717527e0,8.954390967e-1,7.699179777e0
2.052827125e0,-7.798723876e-1,-5.629520890e0,1.710344492e0,5.935063999e0
2.062799125e0,-4.854638736e-1,-3.209122689e0,2.544876067e0,4.124383324e0
2.072772125e0,-2.528841832e-1,-8.855152023e-1,2.599939297e0,2.758218978e0
2.082744125e0,-1.119142458e-1,1.281940636e0,1.460120500e0,1.946239571e0
2.092716125e0,1.750472545e-1,3.287371298e0,-7.766308375e-1,3.382396643e0
2.102689125e0,4.527625160e-1,5.669529878e0,-3.310511069e0,6.580884931e0
2.112661125e0,1.387538427e0,8.152259983e0,-8.265553295e0,1.169204760e1
2.122633125e0,2.998186431e0,1.009031084e1,-1.313971099e1,1.683613672e1
2.132605125e0,3.086968214e0,1.068742383e1,-9.788948269e0,1.481802649e1
2.142578125e0,1.888203344e0,1.091359179e1,-3.294510748e0,1.155532772e1
2.152550125e0,1.072139688e0,1.110559096e1,1.521198760e0,1.126044758e1
2.162522125e0,7.068739933e-1,1.114378263e1,3.114297223e0,1.159234271e1
2.172494125e0,6.581278760e-1,1.097092842e1,2.143852383e0,1.119779021e1
2.182467125e0,7.137251028e-1,1.087080186e1,1.042104880e0,1.094393527e1
2.192439125e0,8.018158916e-1,1.086087329e1,4.843347397e-1,1.090119523e1
2.202411125e0,9.567986814e-1,1.091605230e1,1.440197720e-1,1.095885045e1
