"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675977704381914E9,"2023-02-09 16:21:44.382 UTC-05:00"
"PAUSE",6.060440429169103E1,1.675977764985604E9,"2023-02-09 16:22:44.986 UTC-05:00"
