"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.093999993E-3,-1.258964002E-1,9.313912868E-2,-1.470106959E-2,1.572924738E-1
1.504200001E-2,-1.101419547E-1,1.075180167E-1,-6.501519084E-3,1.540572746E-1
2.499000001E-2,-8.899286807E-2,8.731997967E-2,-2.024890780E-2,1.263112334E-1
3.493800000E-2,-6.024210870E-2,5.920481265E-2,-2.444486976E-2,8.793107050E-2
4.488599999E-2,-1.029373080E-2,3.943069875E-2,-4.402602553E-2,5.999193131E-2
5.483400001E-2,3.289117277E-2,3.884188414E-2,-6.399836004E-2,8.176986790E-2
6.478099999E-2,5.187737435E-2,2.414373815E-2,-5.451183736E-2,7.902988342E-2
7.472900001E-2,4.121643841E-2,1.724051535E-2,-6.885447264E-2,8.207903854E-2
8.467700001E-2,3.393343896E-2,2.852505684E-2,-5.735826194E-2,7.249225724E-2
9.462500000E-2,3.737277120E-2,4.365765095E-2,-5.898027956E-2,8.234918270E-2
1.045730000E-1,3.972569078E-2,3.570719182E-2,-4.379038274E-2,6.907048340E-2
1.145210000E-1,5.412475169E-2,2.945300996E-2,-3.999904811E-2,7.346354464E-2
1.244690000E-1,5.150081366E-2,3.166384220E-2,-2.686971009E-2,6.615824991E-2
1.344170000E-1,6.602471262E-2,4.642747700E-2,-1.362401247E-4,8.071426057E-2
1.443640000E-1,3.219243050E-2,5.974334121E-2,-1.257385254E-2,6.901971579E-2
1.543120000E-1,1.501945049E-2,7.598690629E-2,-2.037403822E-2,8.009179267E-2
1.642600000E-1,3.336713612E-3,9.154634714E-2,-2.185104489E-3,9.163319275E-2
1.742080000E-1,-3.080020845E-3,1.049896806E-1,5.252553821E-3,1.051661014E-1
1.841560000E-1,7.730019093E-4,1.060702461E-1,1.517293990E-2,1.071527543E-1
1.941040000E-1,2.833853066E-3,1.448103887E-1,2.517752588E-2,1.470101602E-1
2.040520000E-1,3.095808327E-3,1.450682509E-1,3.713215828E-2,1.497770965E-1
2.140000000E-1,3.283357769E-2,1.369692725E-1,3.075284600E-2,1.441678292E-1
2.239470000E-1,6.871560127E-2,1.249380416E-1,1.036535919E-2,1.429642919E-1
2.338950000E-1,8.879260093E-2,1.054796773E-1,1.085301697E-2,1.383035657E-1
2.438430000E-1,9.555490583E-2,8.836604655E-2,-1.235955209E-2,1.307365930E-1
2.537910000E-1,1.139017144E-1,8.664462626E-2,-3.530373394E-2,1.474016466E-1
2.637390000E-1,9.599140048E-2,7.619740605E-2,-4.232214689E-2,1.296593914E-1
2.736870000E-1,9.120954752E-2,5.046790302E-2,-6.684595406E-2,1.238328404E-1
2.836350000E-1,8.582747787E-2,5.821195543E-2,-8.526936114E-2,1.342603875E-1
2.935830000E-1,7.269843221E-2,6.176764727E-2,-9.000092804E-2,1.311505675E-1
3.035310000E-1,7.384185523E-2,7.535306811E-2,-9.327653825E-2,1.408233541E-1
3.134780000E-1,6.515552402E-2,1.027496123E-1,-8.620140731E-2,1.491087112E-1
3.234260000E-1,4.985423774E-2,1.310489666E-1,-8.512435019E-2,1.640287526E-1
3.333740000E-1,5.030184209E-2,1.542741072E-1,-7.353078336E-2,1.781503623E-1
3.433220000E-1,6.553003818E-2,1.816367376E-1,-5.525560319E-2,2.008463891E-1
3.532700000E-1,5.087662339E-2,1.908566272E-1,-3.372732460E-2,2.003801771E-1
3.632180000E-1,2.704980433E-2,1.868998164E-1,-1.973318338E-2,1.898753059E-1
3.731660000E-1,2.387505859E-2,1.282656920E-1,-1.092318356E-2,1.309252539E-1
3.831140000E-1,5.371749312E-2,5.726412177E-2,-9.937343001E-3,7.914227375E-2
3.930610000E-1,8.426422477E-2,2.004074693E-2,3.962073326E-3,8.670518519E-2
4.030090000E-1,9.071370363E-2,4.531416714E-2,3.922370732E-2,1.087237278E-1
4.129570000E-1,1.075732729E-1,6.708685935E-2,5.533863366E-2,1.383293899E-1
4.229050000E-1,9.428167462E-2,8.303163171E-2,8.377598226E-2,1.510023220E-1
4.328530000E-1,4.709786028E-2,1.439485091E-1,8.279248059E-2,1.726093177E-1
4.428010000E-1,4.751593620E-2,1.751895976E-1,9.530552208E-2,2.050178086E-1
4.527490000E-1,3.864337116E-2,1.904672027E-1,8.579561055E-2,2.124428210E-1
4.626970000E-1,6.285727590E-2,1.969897717E-1,9.349288523E-2,2.269293434E-1
4.726440000E-1,1.076063097E-1,2.118452078E-1,8.546056509E-2,2.525094417E-1
4.825920000E-1,1.445004863E-1,2.065447068E-1,6.211672604E-2,2.596143180E-1
4.925400000E-1,1.874547172E-1,1.782664025E-1,3.026401877E-2,2.604497880E-1
5.024880000E-1,1.724387750E-1,1.598336399E-1,1.324101985E-2,2.354936266E-1
5.124360000E-1,1.542536420E-1,1.419130933E-1,4.006424457E-2,2.133978815E-1
5.223840000E-1,1.317254895E-1,1.749106854E-1,7.502854764E-2,2.314619524E-1
5.323320000E-1,1.188189304E-1,1.905660206E-1,7.696748435E-2,2.373970094E-1
5.422800000E-1,1.009758595E-1,2.055033177E-1,1.250137630E-1,2.608757918E-1
5.522270000E-1,7.754489690E-2,2.250564069E-1,1.246582523E-1,2.687066750E-1
5.621750000E-1,4.188945293E-3,3.106777704E-1,1.739575893E-1,3.560891281E-1
5.721230000E-1,-8.579210222E-2,3.638628745E-1,2.493817011E-1,4.493859244E-1
5.820710000E-1,-1.791759369E-1,4.886828023E-1,3.688809550E-1,6.379561557E-1
5.920190000E-1,-2.437423539E-1,6.789552927E-1,5.000316632E-1,8.777370271E-1
