"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974950286867E9,"2023-02-09 15:35:50.287 UTC-05:00"
"PAUSE",6.064192879165057E1,1.675975010928724E9,"2023-02-09 15:36:50.929 UTC-05:00"
