"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974903955693E9,"2023-02-09 15:35:03.956 UTC-05:00"
"PAUSE",6.055489475000650E1,1.675974964509272E9,"2023-02-09 15:36:04.509 UTC-05:00"
