"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675973868901145e9,"2023-02-09 15:17:48.901 UTC-05:00"
"PAUSE",6.062897024999984e1,1.675973929530732e9,"2023-02-09 15:18:49.531 UTC-05:00"
