"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.343833330E-3,-3.814004284E-1,-3.343057841E-1,3.877467039E-1,6.384153432E-1
1.229083334E-2,-4.778110743E-1,-3.613497412E-1,2.255798788E-1,6.401275966E-1
2.223858333E-2,-5.133767635E-1,-3.340145928E-1,8.535063744E-2,6.183899908E-1
3.218558335E-2,-5.295630258E-1,-2.460549277E-1,1.246991828E-2,5.840680822E-1
4.213258333E-2,-6.297427869E-1,-1.694762832E-1,1.004785538E-2,6.522263009E-1
5.207958334E-2,-6.401794821E-1,-1.058077061E-1,7.825197145E-2,6.535659194E-1
6.202658333E-2,-6.546583575E-1,-6.974091053E-2,9.189966515E-2,6.647457470E-1
7.197358334E-2,-8.100691634E-1,2.451328218E-2,4.709493667E-3,8.104536568E-1
8.192058332E-2,-9.151225787E-1,2.468793851E-1,3.752816096E-3,9.478464267E-1
9.186858335E-2,-8.821904755E-1,4.638251191E-1,7.888485946E-2,9.998082802E-1
1.018155833E-1,-4.653407174E-1,5.225370115E-1,4.486583188E-2,7.011418220E-1
1.117625833E-1,-4.962683952E-1,3.346770823E-1,-3.761325257E-1,7.069418267E-1
1.217095833E-1,-7.070675361E-1,2.497720027E-1,-4.689711805E-1,8.844571907E-1
1.316565833E-1,-6.951123190E-1,1.762362492E-1,-4.415840650E-1,8.421620022E-1
1.416035833E-1,-4.656968129E-1,3.780107975E-2,-2.472341649E-1,5.286087168E-1
1.515505833E-1,-2.344774407E-1,-1.178740203E-1,-4.096456960E-2,2.656163603E-1
1.614975833E-1,-1.168238604E-1,-2.453596938E-1,9.878775828E-2,2.891508514E-1
1.714445833E-1,-8.996876836E-2,-3.524795151E-1,1.807376551E-1,4.062047363E-1
1.813915833E-1,1.897596896E-2,-4.278793609E-1,3.458548390E-1,5.505055899E-1
1.913395833E-1,3.730120128E-1,-5.331578940E-1,4.989557755E-1,8.199708334E-1
2.012865833E-1,6.381060594E-1,-5.632394797E-1,5.893804805E-1,1.035271658E0
2.112335833E-1,6.776320678E-1,-4.396802115E-1,6.185231495E-1,1.017386256E0
2.211805833E-1,4.588427067E-1,-3.287912750E-1,5.313107586E-1,7.751976872E-1
2.311275833E-1,2.055992121E-1,-3.259863657E-1,6.100821821E-1,7.216220725E-1
2.410745833E-1,-2.878935099E-2,-2.169270229E-1,7.849419236E-1,8.148742133E-1
2.510215833E-1,-6.432521939E-3,-6.044676125E-2,6.958854671E-1,6.985354476E-1
2.609685833E-1,6.931114018E-2,1.259759223E-1,7.193759982E-1,7.336046578E-1
2.709155833E-1,1.501062119E-1,4.041536987E-1,7.978549147E-1,9.068872873E-1
2.808635833E-1,4.622463709E-1,6.591472650E-1,1.126953753E0,1.384980717E0
2.908105833E-1,7.317269987E-1,8.894152951E-1,1.319332995E0,1.751320508E0
3.007575833E-1,1.137298647E0,8.616942304E-1,1.222009599E0,1.878635840E0
3.107045833E-1,1.295772809E0,6.302479863E-1,9.361451463E-1,1.718315289E0
3.206515833E-1,1.218349827E0,5.329111415E-1,5.117402009E-1,1.424867930E0
3.305985833E-1,9.884612811E-1,4.720311016E-1,-3.075518489E-2,1.095817022E0
3.405455833E-1,6.229407209E-1,4.338984847E-1,-4.742850570E-1,8.951364992E-1
3.504925833E-1,1.544758362E-1,3.365400052E-1,-6.520300341E-1,7.498433999E-1
3.604395833E-1,-1.941883707E-1,2.888009977E-1,-7.056782377E-1,7.868271187E-1
3.703865833E-1,-4.236179101E-1,2.339248788E-1,-6.562141554E-1,8.153465524E-1
3.803345833E-1,-4.142880929E-1,1.515364408E-1,-3.488821618E-1,5.624203763E-1
3.902815833E-1,-2.102050638E-1,4.441895843E-2,-2.473956943E-2,2.162666387E-1
4.002285833E-1,8.873500586E-2,-1.503050172E-1,3.355905636E-1,3.782677964E-1
4.101755833E-1,2.812370396E-1,-4.267800844E-1,6.167151904E-1,8.009826084E-1
4.201225833E-1,3.754988337E-1,-6.474306142E-1,7.464695835E-1,1.057063202E0
4.300695833E-1,4.184115493E-1,-8.466171849E-1,7.237076886E-1,1.189782207E0
4.400165833E-1,4.488211638E-1,-9.857920271E-1,6.294059873E-1,1.252748281E0
4.499635833E-1,5.084996009E-1,-1.101021352E0,4.623511823E-1,1.297916976E0
4.599105833E-1,6.006739390E-1,-1.265656725E0,2.570061779E-1,1.424341357E0
4.698585833E-1,8.864162582E-1,-1.426405454E0,2.027114184E-1,1.691584530E0
4.798055833E-1,1.289470680E0,-1.750963345E0,1.839650989E-1,2.182303927E0
4.897525833E-1,1.757588241E0,-2.144316067E0,3.746255520E-1,2.797776282E0
4.996995833E-1,2.009789761E0,-2.420603439E0,7.156968570E-1,3.226576806E0
5.096465833E-1,2.261654482E0,-2.671097572E0,1.043763223E0,3.652298578E0
5.195935833E-1,2.391915829E0,-2.890404997E0,1.579463633E0,4.070676571E0
5.295405833E-1,2.536489406E0,-3.083480058E0,2.005471008E0,4.468057938E0
5.394875833E-1,2.660822845E0,-3.296951376E0,2.410077281E0,4.874252670E0
5.494345833E-1,2.736468274E0,-3.446846504E0,2.750525565E0,5.189836252E0
5.593825833E-1,2.732545377E0,-3.513874306E0,2.888723630E0,5.306490468E0
5.693295833E-1,2.641852723E0,-3.438093807E0,2.782520067E0,5.151921269E0
5.792765833E-1,2.521502407E0,-3.185146766E0,2.444179120E0,4.741006842E0
5.892235833E-1,2.304476274E0,-2.726508127E0,1.875226618E0,4.032484635E0
5.991705833E-1,1.902201578E0,-2.130488572E0,1.251068507E0,3.118096343E0
6.091175833E-1,1.353205039E0,-1.452645419E0,7.685337594E-1,2.128846338E0
6.190645833E-1,4.937125772E-1,-4.415378720E-1,-8.236738801E-2,6.674520117E-1
6.290115833E-1,-8.912864041E-1,1.183434933E0,-1.764628873E0,2.304088703E0
6.389585833E-1,-2.038623259E0,3.044085612E0,-2.534909196E0,4.455132617E0
6.489055833E-1,-3.087732738E0,4.511294106E0,-3.389951049E0,6.432545071E0
6.588535833E-1,-4.192468533E0,6.154486835E0,-2.342346351E0,7.806477249E0
6.688005833E-1,-5.455184401E0,8.256283119E0,-1.935774390E0,1.008327676E1
6.787475833E-1,-6.936902761E0,1.066749885E1,-1.742968301E0,1.284344542E1
6.886945833E-1,-8.332239035E0,1.300408365E1,-1.359378237E0,1.550420292E1
6.986415833E-1,-9.242378617E0,1.468616621E1,-4.626284865E-1,1.735854445E1
7.085885833E-1,-9.414556314E0,1.567536775E1,1.481742918E-1,1.828586832E1
7.185355833E-1,-8.777410367E0,1.520783140E1,1.635303958E-1,1.755983516E1
7.284825833E-1,-7.152641630E0,1.317828624E1,-3.847185771E-1,1.499918394E1
7.384295833E-1,-5.827233962E0,1.060201705E1,-1.238085642E0,1.216109688E1
7.483775833E-1,-4.733073733E0,8.421378084E0,-1.812280026E0,9.828832824E0
7.583245833E-1,-3.677383213E0,6.829547297E0,-2.137241521E0,8.045723392E0
7.682715833E-1,-2.886666872E0,5.602783327E0,-2.360944443E0,6.730385227E0
7.782185833E-1,-2.392678014E0,4.631911055E0,-2.563953778E0,5.809764804E0
7.881655833E-1,-2.029008097E0,3.730577381E0,-2.404764501E0,4.880263697E0
7.981125833E-1,-1.545741571E0,2.800728005E0,-1.786153789E0,3.663842207E0
8.080595833E-1,-9.877786186E-1,1.655339150E0,-9.197342777E-1,2.135828982E0
8.180065833E-1,-2.853026086E-1,2.973736006E-1,-1.533866461E-1,4.397227536E-1
8.279535833E-1,4.721483383E-1,-1.158363242E0,4.704166853E-1,1.336421083E0
8.379015833E-1,1.200337187E0,-2.594886133E0,9.070083976E-1,2.999484562E0
8.478485833E-1,1.940392667E0,-3.922221628E0,9.590603113E-1,4.479815050E0
8.577955833E-1,2.412318226E0,-5.127790611E0,1.547411682E0,5.874350916E0
8.677425833E-1,2.799246028E0,-5.964210252E0,1.856907145E0,6.845121357E0
8.776895833E-1,3.330746236E0,-6.723311575E0,1.069841805E0,7.579007225E0
8.876365833E-1,3.817439523E0,-7.311307581E0,5.609339225E-1,8.266964977E0
8.975835833E-1,4.238086463E0,-7.806276140E0,7.920848823E-1,8.917775648E0
9.075305833E-1,4.622461955E0,-8.255633494E0,1.295427239E0,9.549909457E0
9.174775833E-1,5.005047614E0,-8.628847820E0,1.673806557E0,1.011479830E1
9.274255833E-1,5.543334101E0,-8.847089297E0,1.729530669E0,1.058257144E1
9.373725833E-1,5.683292470E0,-8.899627115E0,1.891668258E0,1.072760853E1
9.473195833E-1,5.866120870E0,-8.886465617E0,1.811543423E0,1.080103397E1
9.572665833E-1,5.828411592E0,-8.853367453E0,1.828705147E0,1.075623816E1
9.672135833E-1,5.578059545E0,-8.746328908E0,1.923534267E0,1.055049770E1
9.771605833E-1,5.323305130E0,-8.690633009E0,1.808823883E0,1.035067744E1
9.871075833E-1,5.190387393E0,-8.597919558E0,1.961896972E0,1.023295567E1
9.970545833E-1,5.073161829E0,-8.526429160E0,2.104650603E0,1.014231331E1
1.007001583E0,4.914719242E0,-8.466574137E0,2.146080757E0,1.002212580E1
1.016949583E0,4.771923219E0,-8.423600610E0,2.231040800E0,9.935081354E0
1.026896792E0,4.644625826E0,-8.314449466E0,2.237727384E0,9.783150967E0
1.036843792E0,4.623065388E0,-8.170228477E0,2.087230870E0,9.616750992E0
1.046790792E0,4.363544907E0,-8.157204974E0,1.775516681E0,9.419818290E0
1.056737792E0,4.109442456E0,-8.006260271E0,1.934711512E0,9.204935060E0
1.066684792E0,3.782726943E0,-7.770380668E0,2.354570832E0,8.957222932E0
1.076631792E0,3.386921899E0,-7.320594714E0,2.322954937E0,8.393954167E0
1.086578792E0,2.650476782E0,-6.669365748E0,1.502995209E0,7.332425332E0
1.096525792E0,1.596062416E0,-5.971450274E0,1.763800907E-1,6.183586625E0
1.106473792E0,5.989402395E-1,-4.805454662E0,-1.130895654E0,4.972931620E0
1.116420792E0,-7.624117246E-1,-3.130458342E0,-3.349179291E0,4.647369471E0
1.126367792E0,-1.540183208E0,-1.179499757E0,-6.199069515E0,6.495525140E0
1.136314792E0,-2.168244628E0,4.795202154E-1,-6.110536823E0,6.501529410E0
1.146261792E0,-2.573589112E0,3.195020959E0,6.690755448E-1,4.156823538E0
1.156208792E0,-1.461478516E0,6.684540442E0,6.381798513E0,9.356620791E0
1.166155792E0,8.616287416E-1,9.211396560E0,3.033501859E0,9.736239736E0
1.176102792E0,-3.686856580E-1,1.440544606E1,1.775437159E0,1.451912472E1
1.186049792E0,-6.159100288E0,2.001803634E1,-4.549343693E0,2.143251790E1
1.195997792E0,-1.055848804E1,2.268099401E1,-1.488089603E1,2.910928075E1
1.205944792E0,-1.089454390E1,2.485382402E1,-7.391805614E0,2.812547680E1
1.215891792E0,-1.312481696E1,2.144180996E1,7.461105645E0,2.622365597E1
1.225838792E0,-1.306003449E1,1.632767026E1,9.653184693E0,2.302914006E1
1.235785792E0,-1.126343304E1,1.143970203E1,4.372255504E0,1.663875971E1
1.245732792E0,-8.940641239E0,8.619311011E0,-2.956381470E-2,1.241887523E1
1.255679792E0,-6.405070431E0,6.712474930E0,-2.624100869E0,9.641999393E0
1.265626792E0,-4.292061234E0,6.009667675E0,-3.943903688E0,8.372112727E0
1.275573792E0,-3.156117387E0,5.702853161E0,-4.373290461E0,7.849157954E0
1.285521792E0,-2.724123048E0,5.926888644E0,-3.609026923E0,7.454792466E0
1.295468792E0,-3.103869883E0,6.733342474E0,-1.895859396E0,7.652855151E0
1.305415792E0,-3.881726736E0,6.938803691E0,-2.729046111E-1,7.955455741E0
1.315362792E0,-4.438488085E0,6.503773770E0,3.509219630E-1,7.881776193E0
1.325309792E0,-4.197726057E0,5.351657109E0,-8.507245615E-2,6.802086091E0
1.335256792E0,-3.114928722E0,3.685804081E0,-1.428018701E-1,4.827869617E0
1.345203792E0,-1.833522522E0,1.680274016E0,-6.924974442E-2,2.487955212E0
1.355150792E0,-5.752312419E-1,-2.507812321E-1,4.549589860E-1,7.750934698E-1
1.365097792E0,6.606391820E-1,-1.899062208E0,9.674346936E-1,2.231325007E0
1.375045792E0,1.461658317E0,-3.397405372E0,1.405266016E0,3.956460649E0
1.384992792E0,2.393891019E0,-4.666852847E0,1.477480444E0,5.449144719E0
1.394939792E0,2.962037774E0,-5.695301481E0,1.643551894E0,6.626566952E0
1.404886792E0,3.792130435E0,-6.544564531E0,8.426447327E-1,7.610626012E0
1.414833792E0,4.382423812E0,-7.074745023E0,5.494534993E-1,8.340237093E0
1.424780792E0,4.590250229E0,-7.543366029E0,1.324766374E0,8.929041054E0
1.434727792E0,5.051051753E0,-8.077087594E0,1.850708220E0,9.704513833E0
1.444674792E0,5.530361468E0,-8.482577382E0,1.611675213E0,1.025360980E1
1.454621792E0,5.759762356E0,-8.845744438E0,9.461648619E-1,1.059798495E1
1.464569792E0,6.052326037E0,-9.107081648E0,4.323190056E-1,1.094333068E1
1.474516792E0,6.284078676E0,-9.288563434E0,3.021817660E-1,1.121866165E1
1.484463792E0,6.298158771E0,-9.408462346E0,5.371591437E-1,1.133465957E1
