"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675975112918821e9,"2023-02-09 15:38:32.919 UTC-05:00"
"PAUSE",6.063054545833438e1,1.675975173550128e9,"2023-02-09 15:39:33.550 UTC-05:00"
