"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974397130489E9,"2023-02-09 15:26:37.130 UTC-05:00"
"PAUSE",6.074242475000210E1,1.675974457872837E9,"2023-02-09 15:27:37.873 UTC-05:00"
