"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974197463075E9,"2023-02-09 15:23:17.463 UTC-05:00"
"PAUSE",6.054483970836736E1,1.675974258006627E9,"2023-02-09 15:24:18.007 UTC-05:00"
