"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675975901550720E9,"2023-02-09 15:51:41.551 UTC-05:00"
"PAUSE",6.053511662501842E1,1.675975962085120E9,"2023-02-09 15:52:42.085 UTC-05:00"
