"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675975924863217e9,"2023-02-09 15:52:04.863 UTC-05:00"
"PAUSE",6.062996420833224e1,1.675975985493856e9,"2023-02-09 15:53:05.494 UTC-05:00"
