"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675974591011615e9,"2023-02-09 15:29:51.012 UTC-05:00"
"PAUSE",6.060954091666645e1,1.675974651621917e9,"2023-02-09 15:30:51.622 UTC-05:00"
