"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.498499991E-3,-4.533229351E-2,-1.400823301E-1,3.180323982E-1,3.504606716E-1
1.255549997E-2,-8.946093768E-3,-1.564732450E-1,2.708569892E-1,3.129335674E-1
2.261250000E-2,1.500775605E-2,-1.351923037E-1,2.249026251E-1,2.628371786E-1
3.266949998E-2,4.165512577E-2,-1.123969334E-1,2.041145309E-1,2.367086012E-1
4.272650002E-2,9.695677578E-2,-6.300725698E-2,1.839042147E-1,2.172355657E-1
5.278350000E-2,1.183010133E-1,-4.376874804E-2,1.495354506E-1,1.956315006E-1
6.284049997E-2,1.246570829E-1,-4.228998721E-2,1.333257993E-1,1.873595476E-1
7.289850002E-2,2.210263596E-1,1.276154816E-2,1.036079836E-1,2.444383829E-1
8.295549999E-2,2.710981138E-1,6.219098568E-3,7.514249526E-2,2.813880934E-1
9.301249997E-2,2.960325417E-1,1.293988824E-2,5.175370574E-2,3.008008519E-1
1.030695000E-1,3.014609505E-1,3.519263685E-2,2.398999292E-2,3.044548343E-1
1.131265000E-1,2.866484915E-1,2.252405941E-2,6.857651062E-3,2.876138354E-1
1.231835000E-1,2.635508202E-1,2.638731480E-2,-1.251888871E-2,2.651641902E-1
1.332405000E-1,2.307944258E-1,1.419470072E-2,-4.157136440E-2,2.349377254E-1
1.432975000E-1,2.239672168E-1,-6.852936745E-4,-7.862520654E-2,2.373682938E-1
1.533545000E-1,2.367188247E-1,-1.244989157E-2,-8.221773583E-2,2.508994975E-1
1.634115000E-1,2.144830330E-1,-3.899215758E-2,-1.031635952E-1,2.411764648E-1
1.734695000E-1,1.512563592E-1,-6.701552331E-2,-1.260706107E-1,2.079984746E-1
1.835265000E-1,9.433693081E-2,-1.072776961E-1,-1.514977761E-1,2.082295291E-1
1.935835000E-1,6.021374971E-2,-1.020748436E-1,-1.265396305E-1,1.733702611E-1
2.036405000E-1,-4.817827955E-2,-1.309992653E-1,-1.622216427E-1,2.140042418E-1
2.136975000E-1,2.588898584E-2,-1.091189843E-1,-1.526847975E-1,1.894461393E-1
2.237545000E-1,1.803564897E-1,-2.694981694E-3,-1.843369818E-1,2.579066675E-1
2.338115000E-1,1.973638473E-1,2.494129837E-2,-1.315658971E-1,2.385039662E-1
2.438685000E-1,2.417725731E-1,2.173351586E-2,-1.104765616E-2,2.429987110E-1
2.539255000E-1,3.471157180E-1,3.808350027E-2,1.027683234E-1,3.640068721E-1
