"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.363605834E-1,6.775959320E0,-1.436023773E1,4.168830872E-1,1.588407517E1
6.464175833E-1,7.492519226E0,-1.467443436E1,1.745370483E-1,1.647747952E1
6.564745834E-1,8.042924652E0,-1.450857925E1,-2.787203979E-1,1.659111792E1
6.665315834E-1,7.901917877E0,-1.416010391E1,-2.715802460E0,1.644154591E1
6.765885833E-1,6.680906982E0,-1.269734573E1,-5.148094482E0,1.524335867E1
6.866455834E-1,3.695365448E0,-1.190953400E1,-2.352358246E0,1.268961446E1
6.967025833E-1,2.082469482E0,-1.130089966E1,8.164022827E-1,1.152013563E1
7.067595834E-1,1.543141022E0,-1.093595856E1,2.343975677E0,1.129029210E1
7.168165834E-1,8.375083923E-1,-1.127904510E1,2.244432678E0,1.153064425E1
7.268735833E-1,7.381150818E-1,-1.145552811E1,2.352807312E0,1.171791962E1
7.369305834E-1,1.218166809E0,-1.096050751E1,2.130669250E0,1.123193691E1
7.469865833E-1,1.568438416E0,-1.093446167E1,2.360142059E0,1.129569483E1
7.570435834E-1,2.316432953E0,-1.118548965E1,3.681893463E0,1.200155740E1
7.671005834E-1,2.516716461E0,-1.148576523E1,4.632566528E0,1.263793248E1
7.771575833E-1,2.218536530E0,-1.196851135E1,4.691394196E0,1.304516569E1
7.872145834E-1,1.958527222E0,-1.253373596E1,3.938310242E0,1.328309654E1
7.972715833E-1,2.070195007E0,-1.245440094E1,2.520458679E0,1.287441347E1
8.073285834E-1,2.228715363E0,-1.167781586E1,1.745520172E0,1.201604744E1
8.173855834E-1,2.029030609E0,-1.075648178E1,1.847607880E0,1.110101439E1
8.274425833E-1,1.693727875E0,-9.764045563E0,1.966909790E0,1.010316950E1
8.374985834E-1,1.557511139E0,-8.704698486E0,1.904938660E0,9.045795044E0
8.475555833E-1,1.550775146E0,-7.796986084E0,1.614542542E0,8.112006112E0
8.576125834E-1,1.601819000E0,-7.167994080E0,1.373543701E0,7.472120551E0
