"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675976299432726E9,"2023-02-09 15:58:19.433 UTC-05:00"
"PAUSE",6.060462229166296E1,1.675976360036633E9,"2023-02-09 15:59:20.037 UTC-05:00"
