"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.874625032E-3,4.191284180E-2,-7.332801361E0,-2.859204254E0,7.870627767E0
1.293162501E-2,-4.905299377E-1,-8.095615082E0,-2.977009277E0,8.639571020E0
2.298862505E-2,-8.434959412E-1,-9.781259766E0,-3.079546051E0,1.028922407E1
3.304562502E-2,-1.084345093E0,-1.223645416E1,-3.154540100E0,1.268297039E1
4.310262500E-2,-1.260379028E0,-1.496767456E1,-3.447331238E0,1.541116250E1
5.315962504E-2,-1.468895416E0,-1.827893875E1,-3.542084198E0,1.867682029E1
6.321662501E-2,-1.482367401E0,-2.126627655E1,-3.070864105E0,2.153792325E1
7.327362505E-2,-8.566685486E-1,-2.146880539E1,-2.699486389E0,2.165480807E1
8.333062503E-2,-1.901046753E-2,-1.953662338E1,-2.391876068E0,1.968250710E1
9.338762501E-2,7.464976501E-1,-1.652862854E1,-2.066003723E0,1.667396748E1
1.034446250E-1,1.429527283E0,-1.336944809E1,-1.769320679E0,1.356157019E1
1.135016250E-1,2.248773651E0,-1.072399933E1,-1.912423096E0,1.112288212E1
1.235586250E-1,3.140918427E0,-9.079668732E0,-1.859283600E0,9.785841218E0
1.336156250E-1,3.682641907E0,-7.503745880E0,-1.511407013E0,8.494257166E0
1.436726250E-1,3.995641022E0,-6.086792450E0,-8.674461365E-1,7.332574739E0
1.537296250E-1,3.800147552E0,-5.069208527E0,6.242019653E-2,6.335763000E0
1.637866250E-1,3.302731934E0,-4.682113495E0,5.984555054E-1,5.760935167E0
1.738436250E-1,2.750979309E0,-4.946912842E0,1.030307465E0,5.753378772E0
1.839006250E-1,1.992805939E0,-5.698948975E0,1.695524139E0,6.270892842E0
1.939576250E-1,1.163081360E0,-5.996380463E0,1.568438416E0,6.306293362E0
2.040146251E-1,4.288581848E-1,-5.667214966E0,9.662406921E-1,5.764968854E0
2.140716250E-1,-3.948788452E-1,-5.655090179E0,5.583389282E-1,5.696289722E0
2.241286250E-1,-8.979826355E-1,-5.842799835E0,3.966751099E-1,5.924696943E0
2.341856250E-1,-1.133892059E0,-5.927673340E0,4.403842163E-1,6.051194980E0
2.442426250E-1,-1.158590698E0,-5.968837738E0,6.011499023E-1,6.109888506E0
2.542996250E-1,-1.099912720E0,-6.028264160E0,7.559280396E-1,6.174237117E0
2.643566250E-1,-9.078620911E-1,-6.311325531E0,8.084687805E-1,6.427337342E0
2.744136250E-1,-5.710624695E-1,-6.515201569E0,8.924441528E-1,6.600789376E0
2.844706250E-1,-2.715353394E-1,-6.730154572E0,1.059496765E0,6.818448899E0
2.945276250E-1,9.580078125E-2,-6.878047028E0,1.292711792E0,6.999129409E0
3.045836251E-1,3.499722290E-1,-7.003336487E0,1.586700439E0,7.189354685E0
3.146406250E-1,4.852908325E-1,-7.215744781E0,1.878743134E0,7.472091789E0
3.246986250E-1,5.996530151E-1,-7.449857941E0,2.115850067E0,7.767675880E0
3.347546250E-1,7.780819702E-1,-7.439529419E0,2.272574158E0,7.817710843E0
3.448116250E-1,1.043180695E0,-7.598947906E0,2.456242218E0,8.053903469E0
3.548686250E-1,1.521585846E0,-7.779771881E0,2.667303314E0,8.363885519E0
3.649256250E-1,2.092947693E0,-8.198600922E0,2.875071259E0,8.936639293E0
3.749826250E-1,2.565365295E0,-9.015452271E0,3.162174225E0,9.892361931E0
3.850396250E-1,2.744243317E0,-1.017164795E1,3.614533539E0,1.113813926E1
3.950966250E-1,2.814896393E0,-1.218660782E1,3.883075104E0,1.309638592E1
4.051536250E-1,3.412603455E0,-1.451037552E1,3.936064911E0,1.541718090E1
4.152106250E-1,3.949237518E0,-1.512529678E1,3.594774628E0,1.604037046E1
4.252676250E-1,3.677702179E0,-1.463386871E1,3.432811432E0,1.547448872E1
4.353246251E-1,3.347638550E0,-1.406609940E1,4.160148926E0,1.504555333E1
4.453816250E-1,3.226989441E0,-1.339055420E1,5.113666077E0,1.469251453E1
4.554386250E-1,3.359314270E0,-1.266531235E1,5.642516327E0,1.426650342E1
4.654956250E-1,3.592678986E0,-1.222148529E1,5.370831299E0,1.382453883E1
4.755526250E-1,3.898493042E0,-1.236009705E1,3.534150696E0,1.343355754E1
4.856106250E-1,3.380270691E0,-1.297277298E1,1.881587219E0,1.353733501E1
4.956676250E-1,1.334175568E0,-1.359053833E1,1.576222229E0,1.374653531E1
5.057246250E-1,-2.568658447E-1,-1.279449371E1,2.085912323E0,1.296595849E1
5.157816250E-1,-5.932164001E-1,-1.137544464E1,8.725355530E-1,1.142427086E1
5.258386250E-1,-1.005159760E0,-1.043480072E1,-2.128274231E0,1.069696048E1
5.358956250E-1,-2.040556641E0,-9.487869873E0,-3.442990265E0,1.029746222E1
5.459526250E-1,-3.325484619E0,-9.114695892E0,-2.599793701E0,1.004467304E1
5.560096250E-1,-3.497476959E0,-9.383536835E0,-1.459914093E0,1.012000285E1
5.660666250E-1,-2.807411957E0,-9.903555450E0,-1.732197876E0,1.043850956E1
5.761236250E-1,-2.052382050E0,-1.036055511E1,-2.723436584E0,1.090735904E1
5.861806250E-1,-2.015259247E0,-1.111573471E1,-2.257754974E0,1.152034225E1
5.962376251E-1,-1.988464966E0,-1.256816437E1,-1.471440125E0,1.280928899E1
6.062946250E-1,-1.294208679E0,-1.427476547E1,-9.711804199E-1,1.436617892E1
6.163516250E-1,1.781295776E-2,-1.568573135E1,-1.021475830E0,1.571896620E1
6.264086250E-1,1.205592957E0,-1.560220505E1,-1.209484863E0,1.569538500E1
6.364656250E-1,1.719174957E0,-1.389994492E1,-1.154848480E0,1.405338771E1
6.465226250E-1,1.661993866E0,-1.211939758E1,-8.514294434E-1,1.226242038E1
6.565796250E-1,1.264570312E0,-1.115285751E1,-5.596861267E-1,1.123826576E1
6.666366250E-1,6.569837952E-1,-1.049781967E1,-4.821473694E-1,1.052940225E1
6.766936250E-1,-8.202941895E-2,-1.001567230E1,-4.602928162E-1,1.002657918E1
6.867506250E-1,-9.367520142E-1,-9.497300262E0,-6.406677246E-1,9.564866530E0
6.968076250E-1,-1.809437256E0,-9.188642120E0,-3.611988831E-1,9.372068706E0
7.068646250E-1,-2.488874359E0,-8.763975220E0,-1.371148682E-1,9.111561760E0
7.169216250E-1,-2.911146240E0,-8.188721466E0,-1.242416382E-1,8.691683822E0
7.269786251E-1,-2.758463745E0,-7.179071045E0,9.789642334E-2,7.691408649E0
7.370356250E-1,-1.983674927E0,-6.173312531E0,1.073268127E-1,6.485080790E0
7.470926250E-1,-1.182989960E0,-5.688620453E0,1.535806274E-1,5.812353646E0
7.571496250E-1,-6.638694763E-1,-5.548511810E0,3.023712158E-1,5.596260746E0
7.672066250E-1,-1.814227295E-1,-5.630990295E0,3.189866638E-1,5.642935265E0
7.772636250E-1,1.707948303E-1,-5.903723145E0,2.206411743E-1,5.910313052E0
7.873206250E-1,4.647834778E-1,-6.471193085E0,7.634124756E-3,6.487867284E0
7.973776250E-1,8.162525940E-1,-7.225474548E0,-4.161346436E-2,7.271552958E0
8.074346251E-1,1.133293304E0,-8.053402863E0,1.935475159E-1,8.135054519E0
8.174906250E-1,1.397194519E0,-8.769064636E0,2.344125366E-1,8.882769633E0
8.275476250E-1,1.598525848E0,-9.129515076E0,3.261717224E-1,9.274142462E0
8.376046250E-1,1.621278534E0,-9.320068817E0,3.827540588E-1,9.467773102E0
8.476616250E-1,1.703008575E0,-9.317374420E0,4.875361633E-1,9.484270969E0
8.577186250E-1,1.859133911E0,-9.178014221E0,8.102650452E-1,9.399407076E0
8.677756250E-1,2.076332245E0,-9.037606201E0,1.271455994E0,9.359812059E0
8.778326250E-1,2.079176331E0,-8.848249969E0,1.458866272E0,9.205584856E0
8.878896250E-1,2.091450806E0,-8.592282257E0,1.422491913E0,8.956838957E0
8.979466250E-1,2.012564850E0,-8.291707306E0,1.450034637E0,8.654792185E0
9.080036251E-1,1.777852936E0,-8.086184692E0,1.562600555E0,8.425488973E0
9.180606250E-1,1.684896240E0,-7.549400940E0,1.814676361E0,7.945148217E0
9.281176250E-1,1.751507721E0,-7.065307617E0,2.021246796E0,7.554587324E0
9.381746250E-1,1.882036285E0,-6.881789246E0,2.100881195E0,7.437391048E0
9.482316250E-1,1.742227020E0,-7.037764893E0,2.349214783E0,7.621305647E0
9.582886250E-1,1.329834595E0,-7.857460327E0,2.580334167E0,8.376530741E0
9.683456250E-1,8.716374207E-1,-9.318871307E0,2.996019745E0,9.827372413E0
9.784026250E-1,1.001417542E0,-1.042132874E1,3.295247498E0,1.097568156E1
9.884596250E-1,1.364562378E0,-1.142978165E1,3.108735352E0,1.192334577E1
9.985166250E-1,1.795067139E0,-1.234737350E1,2.779120789E0,1.278293436E1
1.008573625E0,2.359543304E0,-1.295855255E1,2.576142883E0,1.342117882E1
1.018630625E0,2.888992310E0,-1.316033295E1,2.229613495E0,1.365693290E1
1.028687625E0,3.053799591E0,-1.276710068E1,1.612596588E0,1.322592225E1
1.038744625E0,3.396586761E0,-1.197434921E1,9.238787842E-1,1.248100127E1
1.048801625E0,3.791615295E0,-1.145448029E1,2.058219910E-1,1.206746982E1
1.058858625E0,2.988984375E0,-1.100092346E1,-5.743556213E-1,1.141421171E1
1.068915625E0,2.098486176E0,-1.022763153E1,-1.323847046E0,1.052428914E1
1.078972625E0,1.842069397E0,-9.290131073E0,-1.805395660E0,9.641535589E0
1.089029625E0,1.554367676E0,-8.494236145E0,-2.069745941E0,8.879862320E0
1.099086625E0,1.397942963E0,-7.991132355E0,-2.144889679E0,8.391244995E0
1.109143625E0,1.649420013E0,-7.432194672E0,-2.214494934E0,7.928561776E0
1.119200625E0,1.505120087E0,-6.706653442E0,-2.575394440E0,7.340111947E0
1.129257625E0,9.654922485E-1,-6.202202454E0,-2.778072968E0,6.864195508E0
