"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.367499994e-3,3.698274145e0,3.116700429e0,5.077277099e0,7.012117794e0
1.133950000e-2,2.850490441e0,3.928306240e0,7.232478343e0,8.710087753e0
2.131249999e-2,2.526831267e0,4.841679332e0,8.827380672e0,1.038024010e1
3.128549999e-2,1.670930750e0,4.715126874e0,9.264565877e0,1.052884666e1
4.125749999e-2,5.271216306e-1,4.150520316e0,7.994990932e0,9.023555625e0
5.123049999e-2,-2.311082751e-1,3.658995182e0,5.152272903e0,6.323572791e0
6.120349999e-2,-5.118122313e-1,3.010296307e0,2.094814124e0,3.702982829e0
7.117549999e-2,-6.508002915e-1,1.644859770e0,3.645306265e-1,1.806097245e0
8.114849999e-2,-7.258614374e-1,4.797377318e-1,-5.035739064e-1,1.005290902e0
9.112149999e-2,-9.573880990e-2,-6.428972679e-1,-1.201974699e0,1.366464780e0
1.010935000e-1,2.048108977e-1,-1.642071818e0,-1.744643382e0,2.404605558e0
1.110665000e-1,1.402598479e-1,-2.213574582e0,-1.585030475e0,2.726152392e0
1.210395000e-1,-1.752676762e-1,-2.709764040e0,-1.285788250e0,3.004461904e0
1.310125000e-1,-7.366098623e-1,-2.934808168e0,-1.144582085e0,3.235082877e0
1.409845000e-1,-1.292262872e0,-3.060009919e0,-1.416268721e0,3.611013864e0
1.509575000e-1,-1.679517387e0,-3.155869757e0,-2.210495439e0,4.203163411e0
1.609305000e-1,-1.852702851e0,-3.262438771e0,-3.039762180e0,4.828681880e0
1.709025000e-1,-1.694981518e0,-3.638342232e0,-3.529875796e0,5.345139818e0
1.808755000e-1,-1.421711163e0,-3.911493157e0,-4.045402873e0,5.803992226e0
1.908486250e-1,-7.797424333e-1,-4.442109851e0,-3.757109706e0,5.869941357e0
2.008206250e-1,-3.126525213e-1,-4.951571319e0,-3.297688710e0,5.957395484e0
