"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974381083804E9,"2023-02-09 15:26:21.084 UTC-05:00"
"PAUSE",6.054891812498681E1,1.675974441631441E9,"2023-02-09 15:27:21.631 UTC-05:00"
