"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675976192930348E9,"2023-02-09 15:56:32.930 UTC-05:00"
"PAUSE",6.053502312500496E1,1.675976253464540E9,"2023-02-09 15:57:33.465 UTC-05:00"
