"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.784208336e-3,-3.159215241e0,3.723231524e0,2.643266580e0,5.552472614e0
1.275620834e-2,-3.135760013e0,4.339581263e0,2.541507486e0,5.926568712e0
2.272820834e-2,-3.196221100e0,4.949076312e0,2.283354231e0,6.318456473e0
3.270020834e-2,-3.326640321e0,5.581209440e0,1.878764330e0,6.763592984e0
4.267220834e-2,-3.740148396e0,6.240988204e0,1.163086184e0,7.368270710e0
5.264420834e-2,-4.432332721e0,6.655949312e0,5.165022464e-1,8.013364410e0
6.261620834e-2,-5.064191616e0,6.475544583e0,3.932941036e-1,8.230030049e0
7.258820834e-2,-5.251848646e0,5.656849607e0,8.199177749e-1,7.762353176e0
8.256020834e-2,-4.968566251e0,4.696809302e0,9.505655495e-1,6.902915549e0
9.253220833e-2,-4.391771756e0,3.865934576e0,8.407723081e-1,5.911007306e0
1.025032083e-1,-3.570132414e0,3.181530848e0,7.773745302e-1,4.844821478e0
1.124752083e-1,-2.568363163e0,2.538106745e0,6.627562395e-1,3.671201577e0
1.224472083e-1,-1.541784322e0,1.814529596e0,4.514565039e-1,2.423515943e0
1.324192083e-1,-5.931957156e-1,1.067513298e0,-1.148545182e-1,1.226644756e0
1.423912083e-1,2.918887661e-1,4.839828104e-1,-1.056513516e0,1.198189977e0
1.523632083e-1,1.045947012e0,9.231116295e-2,-1.883165383e0,2.156116500e0
1.623352083e-1,1.610724748e0,-4.645273697e-1,-2.582480096e0,3.078867216e0
1.723072083e-1,2.384164029e0,-1.642601575e0,-3.228001594e0,4.336170239e0
1.822792083e-1,3.747275274e0,-3.490104790e0,-3.917972456e0,6.447744690e0
1.922512083e-1,5.399615972e0,-5.908158842e0,-5.325977308e0,9.613960049e0
2.022232083e-1,7.389022340e0,-8.937972570e0,-8.534734545e0,1.439884365e1
2.121952083e-1,9.951106178e0,-1.226752159e1,-1.260118944e1,2.020659732e1
2.221672083e-1,1.148328016e1,-1.435428059e1,-1.231966238e1,2.212883132e1
2.321392083e-1,1.074630529e1,-1.335703328e1,-7.750911194e0,1.881409152e1
2.421112083e-1,7.487091256e0,-7.775092939e0,-4.072616107e0,1.153667230e1
2.520832083e-1,3.042504525e0,-1.959097910e0,-4.039112731e0,5.423036977e0
2.620552083e-1,5.835266867e-1,1.479351992e0,-3.289402621e0,3.653649588e0
2.720272083e-1,-1.334223369e0,4.416820643e0,-7.742005885e-1,4.678444521e0
2.819992083e-1,-3.165181740e0,6.557244219e0,2.931624359e0,7.849219616e0
2.919702083e-1,-4.889988151e0,7.769389565e0,5.989439818e0,1.096124024e1
3.019422083e-1,-6.614840462e0,7.962776867e0,7.026408430e0,1.251128871e1
3.119142083e-1,-8.018201455e0,7.395304588e0,7.449979563e0,1.320924979e1
3.218862083e-1,-9.328228022e0,5.596738476e0,7.180084952e0,1.303429858e1
3.318582083e-1,-1.080975342e1,1.415403918e0,4.980813829e0,1.198593525e1
3.418302083e-1,-1.289987808e1,-4.865940599e0,2.510117878e0,1.401374055e1
3.518022083e-1,-1.080707072e1,-1.193697849e1,-4.502150230e0,1.671985615e1
3.617742083e-1,-6.824719251e0,-1.221249461e1,-6.855824100e0,1.557960659e1
3.717462083e-1,-5.779161079e0,-9.953717544e0,-2.419553279e0,1.176135340e1
3.817182083e-1,-3.932907414e0,-5.536028590e0,3.115360832e0,7.471334980e0
3.916902083e-1,-1.739549434e0,1.740599155e-2,6.565806296e0,6.792359496e0
4.016622083e-1,-1.907011096e-1,3.479294457e0,6.432876281e0,7.315993034e0
4.116342083e-1,8.374753556e-1,5.285818046e0,6.248436388e0,8.227040457e0
4.216062083e-1,1.487580779e0,6.705609130e0,6.388262610e0,9.380191338e0
4.315782083e-1,2.432680278e0,7.320935606e0,5.735198788e0,9.612831873e0
4.415502083e-1,3.097482677e0,6.862851868e0,3.891481061e0,8.475656880e0
4.515222083e-1,3.191623726e0,4.538864313e0,1.789944393e0,5.830236032e0
4.614942083e-1,3.108297103e0,1.452534322e0,-3.824649140e-2,3.431155728e0
