"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.909791656E-3,-1.454974365E-1,-1.228465393E1,7.484436035E-4,1.228551555E1
1.296679169E-2,5.522016907E-1,-1.116992203E1,-1.390009460E0,1.126961451E1
2.302379167E-2,8.729846191E-1,-1.001327728E1,-2.144590302E0,1.027750415E1
3.308041667E-2,6.327342224E-1,-8.246052246E0,-2.470013580E0,8.631262789E0
4.313641664E-2,1.781744843E0,-9.410480804E0,-1.153351593E0,9.646863923E0
5.319341668E-2,1.488953705E0,-1.183049835E1,-3.089575195E-1,1.192783003E1
6.325041666E-2,-1.407073975E-1,-1.259406052E1,1.315763855E-1,1.259553378E1
7.330741669E-2,1.520837402E-1,-1.337558533E1,9.279203796E-1,1.340859607E1
8.336441667E-2,-2.287243652E-1,-1.305076080E1,1.438508606E0,1.313179270E1
9.342141665E-2,-1.694476318E-1,-1.190100174E1,6.486012268E-1,1.191986738E1
1.034784167E-1,6.767427063E-1,-1.210188400E1,1.282832336E-1,1.212146995E1
1.135354167E-1,1.258133698E0,-1.125120300E1,-4.888833618E-1,1.133187877E1
1.235924167E-1,2.392025757E0,-1.070079758E1,-3.996688843E-1,1.097217350E1
1.336494167E-1,3.339705048E0,-1.174427765E1,2.496807861E-1,1.221245380E1
1.437064167E-1,3.522624664E0,-1.140672958E1,-7.197033691E-1,1.195994721E1
1.537624167E-1,3.308719482E0,-1.098790054E1,-1.982028351E0,1.164517150E1
1.638194167E-1,2.361938324E0,-9.986782379E0,-3.869303741E0,1.096750137E1
1.738764167E-1,1.655856628E0,-7.486232300E0,-5.394332428E0,9.374665731E0
1.839334167E-1,1.899699554E0,-5.123545532E0,-5.777385864E0,7.952217593E0
1.939904167E-1,4.431384888E0,-4.073928223E0,-5.086273041E0,7.880624127E0
2.040474167E-1,8.083939362E0,-6.694378967E0,-9.463320923E-1,1.053851649E1
2.141044167E-1,6.378386078E0,-1.015952316E1,1.721719666E0,1.211874740E1
2.241614166E-1,6.066584473E0,-1.232866241E1,-1.541793823E-1,1.374129308E1
2.342184167E-1,7.326065369E0,-1.429961380E1,7.397616577E-1,1.608407398E1
2.442754167E-1,4.588857422E0,-1.278221924E1,-1.022373962E0,1.361939755E1
2.543324167E-1,4.426894226E0,-1.137484589E1,-2.657872925E0,1.249194940E1
2.643884167E-1,5.458848267E0,-1.103190903E1,-1.991159363E0,1.246863091E1
2.744454167E-1,5.052593079E0,-1.036459671E1,-1.626966705E0,1.164476631E1
2.845024167E-1,4.021686859E0,-8.914262695E0,-3.033441925E0,1.023913153E1
2.945594167E-1,4.692142639E0,-8.893306274E0,-2.086211700E0,1.026934167E1
3.046164167E-1,4.925806732E0,-9.046737213E0,-8.285270691E-1,1.033409325E1
3.146734167E-1,5.512436829E0,-8.660839691E0,-5.472619629E-1,1.028088516E1
3.247304166E-1,5.764961700E0,-8.811127167E0,2.200424194E-2,1.052954080E1
3.347874167E-1,6.014043732E0,-8.690328369E0,2.224374390E-1,1.057071462E1
3.448444167E-1,5.927823029E0,-8.163124695E0,-5.231620789E-1,1.010194977E1
3.549014167E-1,5.945935364E0,-8.168513489E0,-7.622149658E-1,1.013211388E1
3.649584167E-1,5.629194031E0,-8.558602295E0,-3.159928894E-1,1.024877311E1
3.750144167E-1,4.823868713E0,-8.117918701E0,-7.854167175E-1,9.475610420E0
3.850714167E-1,3.582649841E0,-7.441325684E0,-1.751507721E0,8.442540323E0
3.951284167E-1,3.078049164E0,-7.175478516E0,-2.001637573E0,8.060299719E0
4.051854167E-1,3.892355804E0,-7.916587372E0,-2.034269714E-1,8.824067761E0
4.152424167E-1,2.311343536E0,-8.074209595E0,1.256187744E0,8.491947784E0
4.252994166E-1,7.887098694E-1,-7.004833374E0,4.454287262E0,8.338490803E0
4.353564167E-1,1.259031830E0,-8.620124359E0,5.211412811E0,1.015138063E1
4.454134167E-1,8.056246948E-1,-8.990304565E0,3.572171631E0,9.707472250E0
4.554704167E-1,1.933379517E0,-7.492219849E0,-5.358856201E-1,7.756190303E0
4.655264167E-1,2.488275604E0,-6.660998383E0,-2.130220184E0,7.422819745E0
4.755834166E-1,1.443598022E0,-8.256380768E0,-9.940827942E-1,8.440379093E0
4.856404167E-1,1.604663086E0,-9.019793243E0,-1.916464691E0,9.359724926E0
4.956974167E-1,2.268682251E0,-1.018197647E1,-2.544408875E0,1.073748483E1
5.057544167E-1,2.526146851E0,-1.074136322E1,-1.399589539E0,1.112282125E1
5.158114167E-1,2.488425293E0,-9.993069305E0,-8.282276917E-1,1.033148855E1
5.258684166E-1,2.478994904E0,-8.710835724E0,-1.339414673E0,9.155222903E0
5.359254167E-1,1.976040802E0,-8.516539764E0,-1.999242554E0,8.968453467E0
5.459824167E-1,2.193538513E0,-8.950637054E0,-2.150428162E0,9.463078578E0
5.560394167E-1,2.525398407E0,-6.759343872E0,-1.185834045E0,7.312494040E0
5.660954167E-1,2.372266846E0,-6.252497864E0,8.202941895E-1,6.737526407E0
5.761524166E-1,2.123035126E0,-8.851393433E0,2.418670349E0,9.418301869E0
5.862094167E-1,1.813628540E0,-8.679401093E0,2.590213623E0,9.237448696E0
5.962664167E-1,2.528841248E0,-7.345824280E0,2.005828857E-1,7.771512459E0
6.063234167E-1,3.485052795E0,-8.324339447E0,-1.246308289E0,9.110077089E0
6.163804167E-1,4.046086121E0,-9.188043365E0,-1.807790680E0,1.020093432E1
6.264374166E-1,4.503534851E0,-8.800648956E0,-1.483115845E0,9.996643477E0
6.364944167E-1,4.547393646E0,-9.140292664E0,-1.183588715E0,1.027738397E1
6.465514167E-1,4.375251617E0,-9.962383118E0,-1.149459686E0,1.094135100E1
6.566084167E-1,3.917503510E0,-1.028601013E1,-8.690927124E-1,1.104102171E1
6.666644167E-1,3.492088165E0,-1.017748581E1,-1.390608215E-1,1.076081944E1
6.767214166E-1,2.961291962E0,-1.051907547E1,1.184486847E0,1.099196106E1
6.867784167E-1,2.369572449E0,-1.076815750E1,2.082469482E0,1.122072942E1
6.968354167E-1,2.725532227E0,-9.815688171E0,7.849676514E-1,1.021726159E1
7.068924167E-1,2.630330200E0,-1.072519684E1,4.270619202E-1,1.105128346E1
7.169494167E-1,2.456840973E0,-1.116782639E1,3.538641357E-1,1.144035111E1
7.270064167E-1,2.765349426E0,-1.097802109E1,1.707948303E-1,1.132224692E1
7.370634167E-1,3.022514648E0,-1.012898666E1,-3.519181824E-1,1.057619081E1
7.471204167E-1,3.007396088E0,-1.008752289E1,-1.349593506E0,1.061244326E1
7.571774166E-1,3.185076599E0,-1.044078827E1,-2.189047852E0,1.113313537E1
7.672334167E-1,3.864214325E0,-1.079135925E1,-2.514620819E0,1.173494375E1
7.772904166E-1,4.065994720E0,-1.035112473E1,-3.709885254E0,1.172353806E1
7.873474167E-1,3.941603394E0,-9.393266602E0,-4.469405823E0,1.112408572E1
7.974044167E-1,4.172722778E0,-8.542585602E0,-4.631967773E0,1.057556190E1
8.074614167E-1,4.486919403E0,-7.979306946E0,-4.923860779E0,1.039452693E1
8.175184167E-1,4.071682892E0,-7.485483856E0,-5.821094971E0,1.031970042E1
8.275754167E-1,3.924239502E0,-6.747817841E0,-7.423512726E0,1.077224408E1
8.376324167E-1,4.944817200E0,-7.287894745E0,-8.075556793E0,1.194902693E1
8.476894167E-1,6.444099426E0,-8.528963928E0,-7.560627594E0,1.309323233E1
8.577454167E-1,7.517068176E0,-9.271869049E0,-7.141648865E0,1.390960165E1
8.678024167E-1,8.120613098E0,-1.058059753E1,-5.823340302E0,1.455351138E1
8.778594167E-1,8.056696014E0,-1.102083206E1,-4.300856323E0,1.431315671E1
8.879164167E-1,7.333849182E0,-1.233899094E1,-2.569706268E0,1.458216141E1
8.979734167E-1,6.847510529E0,-1.309671524E1,-3.137475586E-1,1.478211041E1
9.080304166E-1,6.532266083E0,-1.252565277E1,-6.572831726E-1,1.414194112E1
9.180874167E-1,5.399272156E0,-1.148636398E1,-1.104852448E0,1.274007050E1
9.281444167E-1,4.475093994E0,-9.846973114E0,-1.797013092E0,1.096442437E1
9.382014167E-1,3.674558716E0,-8.034242706E0,-2.881807251E0,9.292806393E0
9.482584167E-1,2.893632660E0,-7.153324585E0,-2.993025970E0,8.276555265E0
9.583154166E-1,2.281555481E0,-8.223299561E0,-1.588646393E0,8.680550008E0
9.683714167E-1,2.313888245E0,-9.029523010E0,-8.180488586E-1,9.357113259E0
