"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675974162186717e9,"2023-02-09 15:22:42.187 UTC-05:00"
"PAUSE",6.062659733333567e1,1.675974222814076e9,"2023-02-09 15:23:42.814 UTC-05:00"
