"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675975745711795e9,"2023-02-09 15:49:05.712 UTC-05:00"
"PAUSE",6.061274587499793e1,1.675975806325214e9,"2023-02-09 15:50:06.325 UTC-05:00"
