"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675975293460003E9,"2023-02-09 15:41:33.460 UTC-05:00"
"PAUSE",6.053331312496448E1,1.675975353993789E9,"2023-02-09 15:42:33.994 UTC-05:00"
