"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974604957933E9,"2023-02-09 15:30:04.958 UTC-05:00"
"PAUSE",6.060461833333829E1,1.675974665562479E9,"2023-02-09 15:31:05.562 UTC-05:00"
