"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675974169753343E9,"2023-02-09 15:22:49.753 UTC-05:00"
"PAUSE",6.060367812501499E1,1.675974230356949E9,"2023-02-09 15:23:50.357 UTC-05:00"
