"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.143458330e-3,2.771426730e-2,3.673174095e-1,-1.009255076e0,1.074377014e0
1.711545834e-2,3.424710553e-1,2.844494998e-1,-1.171212425e0,1.252971063e0
2.708845833e-2,6.818727610e-1,4.422740364e-1,-9.071463919e-1,1.217978391e0
3.706045834e-2,1.219697025e0,6.747622544e-1,-4.655097020e-1,1.469579605e0
4.703345833e-2,1.807172045e0,9.827146375e-1,-3.756847751e-1,2.091109253e0
5.700545834e-2,2.374868710e0,1.262219732e0,-6.207791515e-1,2.760175139e0
6.697845833e-2,2.940691344e0,1.327046642e0,-7.619296217e-1,3.315004543e0
7.695045834e-2,3.344957601e0,1.356630630e0,-2.238079532e-1,3.616528449e0
8.692345833e-2,3.580972275e0,1.349050884e0,5.884311119e-1,3.871634267e0
9.689545834e-2,3.704766601e0,1.142388064e0,9.550631547e-1,3.992804990e0
1.068684583e-1,3.705060716e0,7.934238946e-1,8.965312835e-1,3.893682669e0
1.168404583e-1,3.525405600e0,4.250066239e-1,5.836830632e-1,3.598583220e0
1.268134583e-1,3.012693665e0,-4.071942508e-2,1.278400330e-1,3.015679735e0
1.367854583e-1,2.045833168e0,-4.661289221e-1,-3.388882470e-1,2.125454014e0
1.467584583e-1,8.981871419e-1,-8.403144711e-1,-9.057032990e-1,1.527470791e0
1.567304583e-1,-8.313044965e-2,-1.412531181e0,-1.472268090e0,2.041991268e0
1.667034583e-1,-8.835145774e-1,-2.107407857e0,-1.688894566e0,2.841501494e0
1.766754583e-1,-1.423672027e0,-2.772867776e0,-1.471500351e0,3.446875546e0
1.866484583e-1,-1.748358118e0,-3.216987194e0,-1.497788848e0,3.955898652e0
1.966204583e-1,-1.961269127e0,-3.340105582e0,-1.943881701e0,4.333769486e0
2.065934583e-1,-4.795285477e-1,-1.198208508e0,-4.942182444e0,5.107917244e0
2.165654583e-1,4.824470977e0,5.004772210e0,-9.276718730e0,1.159227223e1
2.265374583e-1,2.406446452e0,3.151855059e0,-1.697864195e0,4.313689565e0
2.365104583e-1,1.777386913e-1,4.619771651e0,1.097601900e1,1.190994854e1
2.464824583e-1,2.349999771e0,-1.627959563e0,5.736637788e0,6.409505782e0
2.564554583e-1,2.645075709e-2,-5.683485428e0,1.328464007e0,5.836739062e0
2.664274583e-1,-3.954632452e0,-2.437901841e0,2.339973843e-1,4.651584461e0
2.764004583e-1,-5.332063090e0,1.412948087e0,4.992341030e-1,5.538641871e0
2.863724583e-1,-4.655994860e0,1.722000917e0,-3.854695058e-1,4.979172826e0
2.963454583e-1,-3.692350039e0,5.974714190e-1,-2.971705853e0,4.777180819e0
