"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.675974006201454e9,"2023-02-09 15:20:06.201 UTC-05:00"
"PAUSE",6.060013587499998e1,1.675974066802351e9,"2023-02-09 15:21:06.802 UTC-05:00"
