"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675973550580673E9,"2023-02-09 15:12:30.581 UTC-05:00"
"PAUSE",6.062403145834105E1,1.675973611204633E9,"2023-02-09 15:13:31.205 UTC-05:00"
