"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.797196721e1,2.407655364e0,-5.806296837e-1,5.289280182e-1,2.532528387e0
2.798193821e1,2.330967962e0,-7.262066424e-1,4.575984192e-1,2.483985515e0
2.799190921e1,2.240308052e0,-8.103141618e-1,3.934755135e-1,2.414624648e0
2.800188021e1,2.150125568e0,-7.430828762e-1,3.219962257e-1,2.297584316e0
2.801185221e1,2.259064166e0,-8.313617992e-1,2.450299108e-1,2.419622492e0
2.802182321e1,2.515066377e0,-1.001012329e0,2.835402578e-1,2.721760394e0
2.803179421e1,2.795378972e0,-1.007749491e0,2.950399768e-1,2.986092969e0
2.804176521e1,3.028430861e0,-1.007419708e0,1.160146058e-2,3.191617544e0
2.805173621e1,3.114720562e0,-1.094827396e0,-2.609121180e-1,3.311828247e0
2.806170721e1,2.947333196e0,-1.147416669e0,-2.796828496e-1,3.175147316e0
2.807167821e1,2.708243472e0,-1.219976522e0,-5.967200518e-2,2.970940283e0
2.808164921e1,2.528050704e0,-1.389485550e0,3.095013106e-1,2.901293077e0
2.809162021e1,2.373813142e0,-1.511136287e0,7.190157366e-1,2.904394143e0
2.810159221e1,2.198023328e0,-1.586776453e0,1.012225535e0,2.893746118e0
2.811156321e1,2.051538881e0,-1.651019227e0,1.110783863e0,2.858061766e0
2.812153421e1,1.912911046e0,-1.668966671e0,9.879666066e-1,2.724106538e0
2.813150521e1,1.769056677e0,-1.704934648e0,7.080457753e-1,2.556891179e0
2.814147621e1,1.620102074e0,-1.717912543e0,3.734827137e-1,2.390699390e0
2.815144721e1,1.424117731e0,-1.681575022e0,-6.579696357e-2,2.204571411e0
2.816141821e1,1.258949384e0,-1.668364992e0,-5.002702296e-1,2.149108094e0
2.817138921e1,1.067702748e0,-1.749126735e0,-8.406185263e-1,2.214965688e0
2.818136121e1,8.265548033e-1,-1.601455888e0,-1.044364756e0,2.082918997e0
2.819133221e1,6.244253290e-1,-1.354863017e0,-1.182868922e0,1.903874910e0
2.820130321e1,5.089615309e-1,-1.371593655e0,-1.209569648e0,1.898254389e0
2.821127421e1,5.307155120e-1,-1.371596578e0,-1.242206467e0,1.925100786e0
2.822124521e1,5.685046050e-1,-1.271398106e0,-1.313879882e0,1.914662105e0
2.823121621e1,5.930991635e-1,-1.090717973e0,-1.275322757e0,1.779854053e0
2.824118721e1,6.947211403e-1,-9.378197157e-1,-1.412508962e0,1.832300425e0
2.825115821e1,6.768248597e-1,-8.696037591e-1,-1.430271049e0,1.805540878e0
2.826113021e1,5.769552934e-1,-7.539218599e-1,-1.412383246e0,1.701793764e0
2.827110121e1,5.143278131e-1,-6.230430472e-1,-1.366307187e0,1.587296780e0
2.828107221e1,4.924083558e-1,-5.470321673e-1,-1.186260307e0,1.396038573e0
2.829104321e1,4.351211375e-1,-3.976246977e-1,-8.815601456e-1,1.060464094e0
2.830101421e1,3.635044402e-1,-2.990435654e-1,-6.101370728e-1,7.706035165e-1
2.831098521e1,2.781473708e-1,-2.568658447e-1,-3.328585982e-1,5.041238623e-1
2.832095621e1,2.922958785e-1,-1.651581144e-1,-2.209288573e-1,4.019000415e-1
2.833092721e1,2.291365939e-1,-1.036489141e-1,-3.512796664e-1,4.320232403e-1
2.834089821e1,1.119472826e-1,-1.841755986e-2,-3.810700607e-1,3.976000399e-1
2.835087021e1,1.467037171e-2,1.434766388e-1,-2.692321211e-1,3.054287163e-1
2.836084121e1,1.319833517e-2,2.818381333e-1,-2.021458465e-1,3.470877017e-1
2.837081221e1,3.042247832e-2,3.665011382e-1,-2.968192846e-1,4.725995125e-1
2.838078608e1,-3.910471648e-2,4.682081920e-1,-2.852575850e-1,5.496544185e-1
2.839075708e1,-1.804032674e-1,6.119362611e-1,-2.120592159e-1,6.722949037e-1
2.840072808e1,-2.623353302e-1,7.295594358e-1,-1.818834901e-1,7.963406306e-1
2.841069908e1,-2.258177143e-1,7.650947195e-1,-1.539969492e-1,8.124522326e-1
2.842067008e1,-1.527430138e-1,7.533856702e-1,-9.017985284e-2,7.739850142e-1
2.843064208e1,-5.283777952e-2,7.216931766e-1,9.563062727e-2,7.299164945e-1
2.844061308e1,1.746931690e-1,6.798627806e-1,3.569824558e-1,7.875071920e-1
2.845058408e1,5.057508248e-1,6.090787268e-1,4.905667752e-1,9.313520028e-1
2.846055508e1,7.083241028e-1,5.150747949e-1,5.153712487e-1,1.016185319e0
2.847052608e1,6.954742616e-1,5.408504909e-1,4.685765666e-1,9.978816066e-1
2.848049708e1,5.972527331e-1,6.084846497e-1,4.202341264e-1,9.505583186e-1
2.849046808e1,5.583208019e-1,5.407499188e-1,3.700398731e-1,8.608496385e-1
2.850043908e1,6.311388096e-1,3.653673631e-1,4.053599793e-1,8.343537738e-1
2.851041108e1,6.929821783e-1,2.061622989e-1,6.261333007e-1,9.564361469e-1
