"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675975779529707E9,"2023-02-09 15:49:39.530 UTC-05:00"
"PAUSE",6.053049874998396E1,1.675975840059490E9,"2023-02-09 15:50:40.059 UTC-05:00"
