"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675977121238454E9,"2023-02-09 16:12:01.238 UTC-05:00"
"PAUSE",6.060476129167364E1,1.675977181842501E9,"2023-02-09 16:13:01.843 UTC-05:00"
